"Year","Area_type","Area_code","Area_description","Birthplace_code","Birthplace_description","Census_usually_resident_population_count","Birthplace_percent"
2018,"Regional Council","01","Northland Region","0","New Zealand","148059"," 83.9"
2018,"Regional Council","01","Northland Region","1","Australia","3429","  1.9"
2018,"Regional Council","01","Northland Region","2","Pacific Islands","1629","  0.9"
2018,"Regional Council","01","Northland Region","3","United Kingdom and Ireland","10752","  6.1"
2018,"Regional Council","01","Northland Region","4","Europe (excl United Kingdom and Ireland)","3240","  1.8"
2018,"Regional Council","01","Northland Region","5","North America","1596","  0.9"
2018,"Regional Council","01","Northland Region","6","Asia","4662","  2.6"
2018,"Regional Council","01","Northland Region","7","Middle East and Africa","2685","  1.5"
2018,"Regional Council","01","Northland Region","8","Other","315","  0.2"
2018,"Regional Council","01","Northland Region","9","Not elsewhere included","2703",".."
2018,"Regional Council","01","Northland Region","Total","Total","179076",".."
2018,"Regional Council","01","Northland Region","Total stated","Total stated","176373","100.0"
2018,"Regional Council","02","Auckland Region","0","New Zealand","904905"," 58.4"
2018,"Regional Council","02","Auckland Region","1","Australia","21903","  1.4"
2018,"Regional Council","02","Auckland Region","2","Pacific Islands","120330","  7.8"
2018,"Regional Council","02","Auckland Region","3","United Kingdom and Ireland","88731","  5.7"
2018,"Regional Council","02","Auckland Region","4","Europe (excl United Kingdom and Ireland)","34152","  2.2"
2018,"Regional Council","02","Auckland Region","5","North America","12957","  0.8"
2018,"Regional Council","02","Auckland Region","6","Asia","295608"," 19.1"
2018,"Regional Council","02","Auckland Region","7","Middle East and Africa","60336","  3.9"
2018,"Regional Council","02","Auckland Region","8","Other","10323","  0.7"
2018,"Regional Council","02","Auckland Region","9","Not elsewhere included","22476",".."
2018,"Regional Council","02","Auckland Region","Total","Total","1571718",".."
2018,"Regional Council","02","Auckland Region","Total stated","Total stated","1549242","100.0"
2018,"Regional Council","03","Waikato Region","0","New Zealand","363258"," 80.2"
2018,"Regional Council","03","Waikato Region","1","Australia","7314","  1.6"
2018,"Regional Council","03","Waikato Region","2","Pacific Islands","8178","  1.8"
2018,"Regional Council","03","Waikato Region","3","United Kingdom and Ireland","23271","  5.1"
2018,"Regional Council","03","Waikato Region","4","Europe (excl United Kingdom and Ireland)","6561","  1.4"
2018,"Regional Council","03","Waikato Region","5","North America","2802","  0.6"
2018,"Regional Council","03","Waikato Region","6","Asia","29211","  6.5"
2018,"Regional Council","03","Waikato Region","7","Middle East and Africa","10545","  2.3"
2018,"Regional Council","03","Waikato Region","8","Other","1626","  0.4"
2018,"Regional Council","03","Waikato Region","9","Not elsewhere included","5439",".."
2018,"Regional Council","03","Waikato Region","Total","Total","458202",".."
2018,"Regional Council","03","Waikato Region","Total stated","Total stated","452763","100.0"
2018,"Regional Council","04","Bay of Plenty Region","0","New Zealand","246951"," 81.1"
2018,"Regional Council","04","Bay of Plenty Region","1","Australia","5562","  1.8"
2018,"Regional Council","04","Bay of Plenty Region","2","Pacific Islands","3201","  1.1"
2018,"Regional Council","04","Bay of Plenty Region","3","United Kingdom and Ireland","19002","  6.2"
2018,"Regional Council","04","Bay of Plenty Region","4","Europe (excl United Kingdom and Ireland)","4788","  1.6"
2018,"Regional Council","04","Bay of Plenty Region","5","North America","2316","  0.8"
2018,"Regional Council","04","Bay of Plenty Region","6","Asia","15777","  5.2"
2018,"Regional Council","04","Bay of Plenty Region","7","Middle East and Africa","5607","  1.8"
2018,"Regional Council","04","Bay of Plenty Region","8","Other","1248","  0.4"
2018,"Regional Council","04","Bay of Plenty Region","9","Not elsewhere included","4047",".."
2018,"Regional Council","04","Bay of Plenty Region","Total","Total","308499",".."
