"Year","Area_type","Area_code","Area_description","Median_weekly_rent_paid_by_household_$"
"2006","Regional Council","01","Northland Region","160"
"2006","Regional Council","02","Auckland Region","280"
"2006","Regional Council","03","Waikato Region","180"
"2006","Regional Council","04","Bay of Plenty Region","200"
"2006","Regional Council","05","Gisborne Region","140"
"2006","Regional Council","06","Hawke's Bay Region","170"
"2006","Regional Council","07","Taranaki Region","150"
"2006","Regional Council","08","Manawatu-Wanganui Region","140"
"2006","Regional Council","09","Wellington Region","210"
"2006","Regional Council","12","West Coast Region","130"
"2006","Regional Council","13","Canterbury Region","200"
"2006","Regional Council","14","Otago Region","180"
"2006","Regional Council","15","Southland Region","130"
"2006","Regional Council","16","Tasman Region","190"
"2006","Regional Council","17","Nelson Region","210"
"2006","Regional Council","18","Marlborough Region","180"
"2006","Regional Council","99","Area Outside Region","100"
"2006","Regional Council","Total","Total","200"
"2006","Territorial Authority Local Board","00100","Far North District","150"
"2006","Territorial Authority Local Board","00200","Whangarei District","180"
"2006","Territorial Authority Local Board","00300","Kaipara District","140"
"2006","Territorial Authority Local Board","01100","Thames-Coromandel District","170"
"2006","Territorial Authority Local Board","01200","Hauraki District","150"
"2006","Territorial Authority Local Board","01300","Waikato District","160"
"2006","Territorial Authority Local Board","01500","Matamata-Piako District","150"
"2006","Territorial Authority Local Board","01600","Hamilton City","220"
"2006","Territorial Authority Local Board","01700","Waipa District","180"
"2006","Territorial Authority Local Board","01800","Otorohanga District","120"
"2006","Territorial Authority Local Board","01900","South Waikato District","130"
"2006","Territorial Authority Local Board","02000","Waitomo District","120"
"2006","Territorial Authority Local Board","02100","Taupo District","190"
"2006","Territorial Authority Local Board","02200","Western Bay of Plenty District","180"
"2006","Territorial Authority Local Board","02300","Tauranga City","230"
"2006","Territorial Authority Local Board","02400","Rotorua District","180"
"2006","Territorial Authority Local Board","02500","Whakatane District","160"
"2006","Territorial Authority Local Board","02600","Kawerau District","140"
"2006","Territorial Authority Local Board","02700","Opotiki District","130"
"2006","Territorial Authority Local Board","02800","Gisborne District","140"
"2006","Territorial Authority Local Board","02900","Wairoa District","100"
"2006","Territorial Authority Local Board","03000","Hastings District","180"
"2006","Territorial Authority Local Board","03100","Napier City","190"
"2006","Territorial Authority Local Board","03200","Central Hawke's Bay District","140"
"2006","Territorial Authority Local Board","03300","New Plymouth District","170"
"2006","Territorial Authority Local Board","03400","Stratford District","120"
"2006","Territorial Authority Local Board","03500","South Taranaki District","120"
"2006","Territorial Authority Local Board","03600","Ruapehu District","100"
"2006","Territorial Authority Local Board","03700","Whanganui District","140"
"2006","Territorial Authority Local Board","03800","Rangitikei District","110"
"2006","Territorial Authority Local Board","03900","Manawatu District","150"
"2006","Territorial Authority Local Board","04000","Palmerston North City","180"
"2006","Territorial Authority Local Board","04100","Tararua District","120"
"2006","Territorial Authority Local Board","04200","Horowhenua District","140"
"2006","Territorial Authority Local Board","04300","Kapiti Coast District","200"
"2006","Territorial Authority Local Board","04400","Porirua City","170"
"2006","Territorial Authority Local Board","04500","Upper Hutt City","180"
"2006","Territorial Authority Local Board","04600","Lower Hutt City","190"
"2006","Territorial Authority Local Board","04700","Wellington City","270"
"2006","Territorial Authority Local Board","04800","Masterton District","150"
