"Year","Area_type","Area_code","Area_description","Main_types_of_heating_code","Main_types_of_heating_description","Occupied_private_dwellings","Main_types_of_heating_total_responses_percent"
2018,"Regional Council","01","Northland Region","0","No heating used","3738","  6.5"
2018,"Regional Council","01","Northland Region","1","Heat pump","17679"," 30.5"
2018,"Regional Council","01","Northland Region","2","Electric heater","21114"," 36.4"
2018,"Regional Council","01","Northland Region","3","Fixed gas heater","2637","  4.6"
2018,"Regional Council","01","Northland Region","4","Portable gas heater","5664","  9.8"
2018,"Regional Council","01","Northland Region","5","Wood burner","25911"," 44.7"
2018,"Regional Council","01","Northland Region","6","Pellet fire","282","  0.5"
2018,"Regional Council","01","Northland Region","7","Coal burner","189","  0.3"
2018,"Regional Council","01","Northland Region","8","Other types of heating","750","  1.3"
2018,"Regional Council","01","Northland Region","9","Not elsewhere included","7473",".."
2018,"Regional Council","01","Northland Region","Total","Total","64911",".."
2018,"Regional Council","01","Northland Region","Total stated","Total stated","57933","100.0"
2018,"Regional Council","02","Auckland Region","0","No heating used","39057","  8.7"
2018,"Regional Council","02","Auckland Region","1","Heat pump","178398"," 39.5"
2018,"Regional Council","02","Auckland Region","2","Electric heater","239715"," 53.1"
2018,"Regional Council","02","Auckland Region","3","Fixed gas heater","47991"," 10.6"
2018,"Regional Council","02","Auckland Region","4","Portable gas heater","35730","  7.9"
2018,"Regional Council","02","Auckland Region","5","Wood burner","76593"," 17.0"
2018,"Regional Council","02","Auckland Region","6","Pellet fire","1869","  0.4"
2018,"Regional Council","02","Auckland Region","7","Coal burner","1320","  0.3"
2018,"Regional Council","02","Auckland Region","8","Other types of heating","9606","  2.1"
2018,"Regional Council","02","Auckland Region","9","Not elsewhere included","50844",".."
2018,"Regional Council","02","Auckland Region","Total","Total","498789",".."
2018,"Regional Council","02","Auckland Region","Total stated","Total stated","451080","100.0"
2018,"Regional Council","03","Waikato Region","0","No heating used","3966","  2.6"
2018,"Regional Council","03","Waikato Region","1","Heat pump","72786"," 48.3"
2018,"Regional Council","03","Waikato Region","2","Electric heater","56895"," 37.7"
2018,"Regional Council","03","Waikato Region","3","Fixed gas heater","21600"," 14.3"
2018,"Regional Council","03","Waikato Region","4","Portable gas heater","10704","  7.1"
2018,"Regional Council","03","Waikato Region","5","Wood burner","52953"," 35.1"
2018,"Regional Council","03","Waikato Region","6","Pellet fire","1026","  0.7"
2018,"Regional Council","03","Waikato Region","7","Coal burner","1308","  0.9"
2018,"Regional Council","03","Waikato Region","8","Other types of heating","3816","  2.5"
2018,"Regional Council","03","Waikato Region","9","Not elsewhere included","14631",".."
2018,"Regional Council","03","Waikato Region","Total","Total","164196",".."
2018,"Regional Council","03","Waikato Region","Total stated","Total stated","150789","100.0"
2018,"Regional Council","04","Bay of Plenty Region","0","No heating used","2997","  3.0"
2018,"Regional Council","04","Bay of Plenty Region","1","Heat pump","46416"," 46.2"
2018,"Regional Council","04","Bay of Plenty Region","2","Electric heater","35403"," 35.2"
2018,"Regional Council","04","Bay of Plenty Region","3","Fixed gas heater","11508"," 11.5"
2018,"Regional Council","04","Bay of Plenty Region","4","Portable gas heater","8496","  8.5"
2018,"Regional Council","04","Bay of Plenty Region","5","Wood burner","34791"," 34.6"
2018,"Regional Council","04","Bay of Plenty Region","6","Pellet fire","942","  0.9"
2018,"Regional Council","04","Bay of Plenty Region","7","Coal burner","255","  0.3"
2018,"Regional Council","04","Bay of Plenty Region","8","Other types of heating","1653","  1.6"
2018,"Regional Council","04","Bay of Plenty Region","9","Not elsewhere included","11985",".."
2018,"Regional Council","04","Bay of Plenty Region","Total","Total","111684",".."
2018,"Regional Council","04","Bay of Plenty Region","Total stated","Total stated","100479","100.0"
2018,"Regional Council","05","Gisborne Region","0","No heating used","336","  2.3"
2018,"Regional Council","05","Gisborne Region","1","Heat pump","5451"," 37.3"
2018,"Regional Council","05","Gisborne Region","2","Electric heater","4275"," 29.3"
2018,"Regional Council","05","Gisborne Region","3","Fixed gas heater","1503"," 10.3"
2018,"Regional Council","05","Gisborne Region","4","Portable gas heater","1704"," 11.7"
2018,"Regional Council","05","Gisborne Region","5","Wood burner","8418"," 57.6"
2018,"Regional Council","05","Gisborne Region","6","Pellet fire","75","  0.5"
2018,"Regional Council","05","Gisborne Region","7","Coal burner","45","  0.3"
2018,"Regional Council","05","Gisborne Region","8","Other types of heating","195","  1.3"
2018,"Regional Council","05","Gisborne Region","9","Not elsewhere included","2034",".."
2018,"Regional Council","05","Gisborne Region","Total","Total","16509",".."
2018,"Regional Council","05","Gisborne Region","Total stated","Total stated","14613","100.0"
2018,"Regional Council","06","Hawke's Bay Region","0","No heating used","858","  1.6"
2018,"Regional Council","06","Hawke's Bay Region","1","Heat pump","29061"," 52.6"
2018,"Regional Council","06","Hawke's Bay Region","2","Electric heater","20451"," 37.0"
2018,"Regional Council","06","Hawke's Bay Region","3","Fixed gas heater","4581","  8.3"
2018,"Regional Council","06","Hawke's Bay Region","4","Portable gas heater","4326","  7.8"
2018,"Regional Council","06","Hawke's Bay Region","5","Wood burner","25179"," 45.5"
2018,"Regional Council","06","Hawke's Bay Region","6","Pellet fire","327","  0.6"
2018,"Regional Council","06","Hawke's Bay Region","7","Coal burner","147","  0.3"
2018,"Regional Council","06","Hawke's Bay Region","8","Other types of heating","870","  1.6"
2018,"Regional Council","06","Hawke's Bay Region","9","Not elsewhere included","5631",".."
2018,"Regional Council","06","Hawke's Bay Region","Total","Total","60531",".."
2018,"Regional Council","06","Hawke's Bay Region","Total stated","Total stated","55287","100.0"
2018,"Regional Council","07","Taranaki Region","0","No heating used","819","  1.9"
2018,"Regional Council","07","Taranaki Region","1","Heat pump","14025"," 33.1"
2018,"Regional Council","07","Taranaki Region","2","Electric heater","13185"," 31.1"
2018,"Regional Council","07","Taranaki Region","3","Fixed gas heater","10071"," 23.7"
2018,"Regional Council","07","Taranaki Region","4","Portable gas heater","3417","  8.1"
2018,"Regional Council","07","Taranaki Region","5","Wood burner","18282"," 43.1"
2018,"Regional Council","07","Taranaki Region","6","Pellet fire","210","  0.5"
2018,"Regional Council","07","Taranaki Region","7","Coal burner","141","  0.3"
2018,"Regional Council","07","Taranaki Region","8","Other types of heating","1386","  3.3"
2018,"Regional Council","07","Taranaki Region","9","Not elsewhere included","3309",".."
2018,"Regional Council","07","Taranaki Region","Total","Total","45444",".."
2018,"Regional Council","07","Taranaki Region","Total stated","Total stated","42432","100.0"
2018,"Regional Council","08","Manawatu-Wanganui Region","0","No heating used","1389","  1.7"
2018,"Regional Council","08","Manawatu-Wanganui Region","1","Heat pump","29046"," 34.7"
2018,"Regional Council","08","Manawatu-Wanganui Region","2","Electric heater","31491"," 37.6"
2018,"Regional Council","08","Manawatu-Wanganui Region","3","Fixed gas heater","18378"," 21.9"
2018,"Regional Council","08","Manawatu-Wanganui Region","4","Portable gas heater","6750","  8.1"
2018,"Regional Council","08","Manawatu-Wanganui Region","5","Wood burner","38901"," 46.5"
2018,"Regional Council","08","Manawatu-Wanganui Region","6","Pellet fire","429","  0.5"
2018,"Regional Council","08","Manawatu-Wanganui Region","7","Coal burner","465","  0.6"
2018,"Regional Council","08","Manawatu-Wanganui Region","8","Other types of heating","2034","  2.4"
2018,"Regional Council","08","Manawatu-Wanganui Region","9","Not elsewhere included","7707",".."
2018,"Regional Council","08","Manawatu-Wanganui Region","Total","Total","90810",".."
2018,"Regional Council","08","Manawatu-Wanganui Region","Total stated","Total stated","83739","100.0"
2018,"Regional Council","09","Wellington Region","0","No heating used","5085","  2.9"
2018,"Regional Council","09","Wellington Region","1","Heat pump","75522"," 43.3"
2018,"Regional Council","09","Wellington Region","2","Electric heater","92760"," 53.2"
2018,"Regional Council","09","Wellington Region","3","Fixed gas heater","33249"," 19.1"
2018,"Regional Council","09","Wellington Region","4","Portable gas heater","8100","  4.6"
2018,"Regional Council","09","Wellington Region","5","Wood burner","47145"," 27.0"
2018,"Regional Council","09","Wellington Region","6","Pellet fire","825","  0.5"
2018,"Regional Council","09","Wellington Region","7","Coal burner","513","  0.3"
2018,"Regional Council","09","Wellington Region","8","Other types of heating","8727","  5.0"
2018,"Regional Council","09","Wellington Region","9","Not elsewhere included","13104",".."
2018,"Regional Council","09","Wellington Region","Total","Total","186225",".."
2018,"Regional Council","09","Wellington Region","Total stated","Total stated","174351","100.0"
2018,"Regional Council","12","West Coast Region","0","No heating used","102","  0.8"
2018,"Regional Council","12","West Coast Region","1","Heat pump","3282"," 26.6"
2018,"Regional Council","12","West Coast Region","2","Electric heater","3255"," 26.4"
2018,"Regional Council","12","West Coast Region","3","Fixed gas heater","474","  3.8"
2018,"Regional Council","12","West Coast Region","4","Portable gas heater","621","  5.0"
2018,"Regional Council","12","West Coast Region","5","Wood burner","7440"," 60.3"
2018,"Regional Council","12","West Coast Region","6","Pellet fire","174","  1.4"
2018,"Regional Council","12","West Coast Region","7","Coal burner","4233"," 34.3"
2018,"Regional Council","12","West Coast Region","8","Other types of heating","702","  5.7"
2018,"Regional Council","12","West Coast Region","9","Not elsewhere included","1536",".."
2018,"Regional Council","12","West Coast Region","Total","Total","13695",".."
2018,"Regional Council","12","West Coast Region","Total stated","Total stated","12333","100.0"
2018,"Regional Council","13","Canterbury Region","0","No heating used","1302","  0.6"
2018,"Regional Council","13","Canterbury Region","1","Heat pump","151494"," 71.1"
2018,"Regional Council","13","Canterbury Region","2","Electric heater","88518"," 41.5"
2018,"Regional Council","13","Canterbury Region","3","Fixed gas heater","17232","  8.1"
2018,"Regional Council","13","Canterbury Region","4","Portable gas heater","5652","  2.7"
2018,"Regional Council","13","Canterbury Region","5","Wood burner","71478"," 33.5"
2018,"Regional Council","13","Canterbury Region","6","Pellet fire","6048","  2.8"
2018,"Regional Council","13","Canterbury Region","7","Coal burner","960","  0.5"
2018,"Regional Council","13","Canterbury Region","8","Other types of heating","6255","  2.9"
2018,"Regional Council","13","Canterbury Region","9","Not elsewhere included","15066",".."
2018,"Regional Council","13","Canterbury Region","Total","Total","226806",".."
2018,"Regional Council","13","Canterbury Region","Total stated","Total stated","213084","100.0"
2018,"Regional Council","14","Otago Region","0","No heating used","519","  0.6"
2018,"Regional Council","14","Otago Region","1","Heat pump","49512"," 60.7"
2018,"Regional Council","14","Otago Region","2","Electric heater","35682"," 43.8"
