"Year","Area_type","Area_code","Area_description","Access_to_telecommunication_systems_code","Access_to_telecommunication_systems_description","Households_in_occupied_private_dwellings","Access_to_telecommunication_systems_total_responses_percent"
2018,"Regional Council","01","Northland Region","0","No access to telecommunication systems","867","  1.5"
2018,"Regional Council","01","Northland Region","1","Access to a cellphone/mobile phone","51933"," 90.0"
2018,"Regional Council","01","Northland Region","2","Access to a telephone","37722"," 65.3"
2018,"Regional Council","01","Northland Region","3","Access to a fax machine","0","  0.0"
2018,"Regional Council","01","Northland Region","4","Access to the internet","46260"," 80.1"
2018,"Regional Council","01","Northland Region","9","Not elsewhere included","6531",".."
2018,"Regional Council","01","Northland Region","Total","Total","64257",".."
2018,"Regional Council","01","Northland Region","Total stated","Total stated","57726","100.0"
2018,"Regional Council","02","Auckland Region","0","No access to telecommunication systems","5337","  1.2"
2018,"Regional Council","02","Auckland Region","1","Access to a cellphone/mobile phone","418434"," 92.6"
2018,"Regional Council","02","Auckland Region","2","Access to a telephone","270003"," 59.7"
2018,"Regional Council","02","Auckland Region","3","Access to a fax machine","0","  0.0"
2018,"Regional Council","02","Auckland Region","4","Access to the internet","404598"," 89.5"
2018,"Regional Council","02","Auckland Region","9","Not elsewhere included","44466",".."
2018,"Regional Council","02","Auckland Region","Total","Total","496458",".."
2018,"Regional Council","02","Auckland Region","Total stated","Total stated","451992","100.0"
2018,"Regional Council","03","Waikato Region","0","No access to telecommunication systems","1926","  1.3"
2018,"Regional Council","03","Waikato Region","1","Access to a cellphone/mobile phone","137937"," 92.0"
2018,"Regional Council","03","Waikato Region","2","Access to a telephone","90525"," 60.4"
2018,"Regional Council","03","Waikato Region","3","Access to a fax machine","0","  0.0"
2018,"Regional Council","03","Waikato Region","4","Access to the internet","125556"," 83.7"
2018,"Regional Council","03","Waikato Region","9","Not elsewhere included","12933",".."
2018,"Regional Council","03","Waikato Region","Total","Total","162927",".."
2018,"Regional Council","03","Waikato Region","Total stated","Total stated","149997","100.0"
2018,"Regional Council","04","Bay of Plenty Region","0","No access to telecommunication systems","1149","  1.1"
2018,"Regional Council","04","Bay of Plenty Region","1","Access to a cellphone/mobile phone","92244"," 92.0"
2018,"Regional Council","04","Bay of Plenty Region","2","Access to a telephone","64695"," 64.5"
2018,"Regional Council","04","Bay of Plenty Region","3","Access to a fax machine","0","  0.0"
2018,"Regional Council","04","Bay of Plenty Region","4","Access to the internet","85146"," 84.9"
2018,"Regional Council","04","Bay of Plenty Region","9","Not elsewhere included","10671",".."
2018,"Regional Council","04","Bay of Plenty Region","Total","Total","110919",".."
2018,"Regional Council","04","Bay of Plenty Region","Total stated","Total stated","100248","100.0"
2018,"Regional Council","05","Gisborne Region","0","No access to telecommunication systems","288","  2.0"
2018,"Regional Council","05","Gisborne Region","1","Access to a cellphone/mobile phone","12705"," 87.3"
2018,"Regional Council","05","Gisborne Region","2","Access to a telephone","8805"," 60.5"
2018,"Regional Council","05","Gisborne Region","3","Access to a fax machine","0","  0.0"
2018,"Regional Council","05","Gisborne Region","4","Access to the internet","11361"," 78.1"
2018,"Regional Council","05","Gisborne Region","9","Not elsewhere included","1860",".."
2018,"Regional Council","05","Gisborne Region","Total","Total","16410",".."
2018,"Regional Council","05","Gisborne Region","Total stated","Total stated","14550","100.0"
2018,"Regional Council","06","Hawke's Bay Region","0","No access to telecommunication systems","699","  1.3"
2018,"Regional Council","06","Hawke's Bay Region","1","Access to a cellphone/mobile phone","49704"," 90.2"
2018,"Regional Council","06","Hawke's Bay Region","2","Access to a telephone","37614"," 68.3"
2018,"Regional Council","06","Hawke's Bay Region","3","Access to a fax machine","0","  0.0"
2018,"Regional Council","06","Hawke's Bay Region","4","Access to the internet","45600"," 82.8"
2018,"Regional Council","06","Hawke's Bay Region","9","Not elsewhere included","5145",".."
2018,"Regional Council","06","Hawke's Bay Region","Total","Total","60237",".."
2018,"Regional Council","06","Hawke's Bay Region","Total stated","Total stated","55092","100.0"
2018,"Regional Council","07","Taranaki Region","0","No access to telecommunication systems","468","  1.1"
2018,"Regional Council","07","Taranaki Region","1","Access to a cellphone/mobile phone","38505"," 91.1"
2018,"Regional Council","07","Taranaki Region","2","Access to a telephone","28266"," 66.9"
2018,"Regional Council","07","Taranaki Region","3","Access to a fax machine","0","  0.0"
2018,"Regional Council","07","Taranaki Region","4","Access to the internet","34644"," 82.0"
2018,"Regional Council","07","Taranaki Region","9","Not elsewhere included","2976",".."
2018,"Regional Council","07","Taranaki Region","Total","Total","45249",".."
2018,"Regional Council","07","Taranaki Region","Total stated","Total stated","42273","100.0"
2018,"Regional Council","08","Manawatu-Wanganui Region","0","No access to telecommunication systems","1089","  1.3"
2018,"Regional Council","08","Manawatu-Wanganui Region","1","Access to a cellphone/mobile phone","74937"," 89.8"
2018,"Regional Council","08","Manawatu-Wanganui Region","2","Access to a telephone","54273"," 65.0"
2018,"Regional Council","08","Manawatu-Wanganui Region","3","Access to a fax machine","0","  0.0"
2018,"Regional Council","08","Manawatu-Wanganui Region","4","Access to the internet","67680"," 81.1"
2018,"Regional Council","08","Manawatu-Wanganui Region","9","Not elsewhere included","6972",".."
2018,"Regional Council","08","Manawatu-Wanganui Region","Total","Total","90408",".."
2018,"Regional Council","08","Manawatu-Wanganui Region","Total stated","Total stated","83439","100.0"
2018,"Regional Council","09","Wellington Region","0","No access to telecommunication systems","1491","  0.9"
2018,"Regional Council","09","Wellington Region","1","Access to a cellphone/mobile phone","162234"," 93.3"
2018,"Regional Council","09","Wellington Region","2","Access to a telephone","105648"," 60.7"
2018,"Regional Council","09","Wellington Region","3","Access to a fax machine","0","  0.0"
2018,"Regional Council","09","Wellington Region","4","Access to the internet","154536"," 88.8"
2018,"Regional Council","09","Wellington Region","9","Not elsewhere included","11448",".."
2018,"Regional Council","09","Wellington Region","Total","Total","185382",".."
2018,"Regional Council","09","Wellington Region","Total stated","Total stated","173931","100.0"
2018,"Regional Council","12","West Coast Region","0","No access to telecommunication systems","231","  1.9"
2018,"Regional Council","12","West Coast Region","1","Access to a cellphone/mobile phone","10383"," 85.1"
2018,"Regional Council","12","West Coast Region","2","Access to a telephone","8493"," 69.6"
2018,"Regional Council","12","West Coast Region","3","Access to a fax machine","0","  0.0"
2018,"Regional Council","12","West Coast Region","4","Access to the internet","9342"," 76.5"
2018,"Regional Council","12","West Coast Region","9","Not elsewhere included","1299",".."
2018,"Regional Council","12","West Coast Region","Total","Total","13503",".."
2018,"Regional Council","12","West Coast Region","Total stated","Total stated","12207","100.0"
2018,"Regional Council","13","Canterbury Region","0","No access to telecommunication systems","1857","  0.9"
2018,"Regional Council","13","Canterbury Region","1","Access to a cellphone/mobile phone","195795"," 92.5"
2018,"Regional Council","13","Canterbury Region","2","Access to a telephone","135387"," 63.9"
2018,"Regional Council","13","Canterbury Region","3","Access to a fax machine","0","  0.0"
2018,"Regional Council","13","Canterbury Region","4","Access to the internet","183144"," 86.5"
2018,"Regional Council","13","Canterbury Region","9","Not elsewhere included","13641",".."
2018,"Regional Council","13","Canterbury Region","Total","Total","225408",".."
2018,"Regional Council","13","Canterbury Region","Total stated","Total stated","211767","100.0"
2018,"Regional Council","14","Otago Region","0","No access to telecommunication systems","693","  0.9"
2018,"Regional Council","14","Otago Region","1","Access to a cellphone/mobile phone","73914"," 91.7"
2018,"Regional Council","14","Otago Region","2","Access to a telephone","49713"," 61.7"
2018,"Regional Council","14","Otago Region","3","Access to a fax machine","0","  0.0"
2018,"Regional Council","14","Otago Region","4","Access to the internet","69282"," 86.0"
2018,"Regional Council","14","Otago Region","9","Not elsewhere included","5073",".."
2018,"Regional Council","14","Otago Region","Total","Total","85665",".."
2018,"Regional Council","14","Otago Region","Total stated","Total stated","80592","100.0"
2018,"Regional Council","15","Southland Region","0","No access to telecommunication systems","411","  1.1"
2018,"Regional Council","15","Southland Region","1","Access to a cellphone/mobile phone","33384"," 91.5"
2018,"Regional Council","15","Southland Region","2","Access to a telephone","23793"," 65.2"
2018,"Regional Council","15","Southland Region","3","Access to a fax machine","0","  0.0"
2018,"Regional Council","15","Southland Region","4","Access to the internet","29382"," 80.5"
2018,"Regional Council","15","Southland Region","9","Not elsewhere included","2145",".."
2018,"Regional Council","15","Southland Region","Total","Total","38646",".."
2018,"Regional Council","15","Southland Region","Total stated","Total stated","36501","100.0"
2018,"Regional Council","16","Tasman Region","0","No access to telecommunication systems","129","  0.7"
2018,"Regional Council","16","Tasman Region","1","Access to a cellphone/mobile phone","16887"," 91.5"
2018,"Regional Council","16","Tasman Region","2","Access to a telephone","13374"," 72.5"
2018,"Regional Council","16","Tasman Region","3","Access to a fax machine","0","  0.0"
2018,"Regional Council","16","Tasman Region","4","Access to the internet","15768"," 85.5"
2018,"Regional Council","16","Tasman Region","9","Not elsewhere included","1095",".."
2018,"Regional Council","16","Tasman Region","Total","Total","19545",".."
2018,"Regional Council","16","Tasman Region","Total stated","Total stated","18450","100.0"
2018,"Regional Council","17","Nelson Region","0","No access to telecommunication systems","120","  0.6"
2018,"Regional Council","17","Nelson Region","1","Access to a cellphone/mobile phone","17307"," 92.8"
2018,"Regional Council","17","Nelson Region","2","Access to a telephone","12474"," 66.9"
2018,"Regional Council","17","Nelson Region","3","Access to a fax machine","0","  0.0"
2018,"Regional Council","17","Nelson Region","4","Access to the internet","16251"," 87.1"
2018,"Regional Council","17","Nelson Region","9","Not elsewhere included","1167",".."
2018,"Regional Council","17","Nelson Region","Total","Total","19821",".."
2018,"Regional Council","17","Nelson Region","Total stated","Total stated","18654","100.0"
2018,"Regional Council","18","Marlborough Region","0","No access to telecommunication systems","177","  1.0"
2018,"Regional Council","18","Marlborough Region","1","Access to a cellphone/mobile phone","15807"," 90.6"
2018,"Regional Council","18","Marlborough Region","2","Access to a telephone","12450"," 71.4"
2018,"Regional Council","18","Marlborough Region","3","Access to a fax machine","0","  0.0"
2018,"Regional Council","18","Marlborough Region","4","Access to the internet","14676"," 84.1"
2018,"Regional Council","18","Marlborough Region","9","Not elsewhere included","1230",".."
2018,"Regional Council","18","Marlborough Region","Total","Total","18675",".."
2018,"Regional Council","18","Marlborough Region","Total stated","Total stated","17442","100.0"
2018,"Regional Council","99","Area Outside Region","0","No access to telecommunication systems","12","  5.0"
2018,"Regional Council","99","Area Outside Region","1","Access to a cellphone/mobile phone","15","  6.2"
2018,"Regional Council","99","Area Outside Region","2","Access to a telephone","225"," 93.8"
2018,"Regional Council","99","Area Outside Region","3","Access to a fax machine","0","  0.0"
2018,"Regional Council","99","Area Outside Region","4","Access to the internet","156"," 65.0"
2018,"Regional Council","99","Area Outside Region","9","Not elsewhere included","36",".."
2018,"Regional Council","99","Area Outside Region","Total","Total","276",".."
2018,"Regional Council","99","Area Outside Region","Total stated","Total stated","240","100.0"
2018,"Regional Council","Total","Total","0","No access to telecommunication systems","16947","  1.1"
2018,"Regional Council","Total","Total","1","Access to a cellphone/mobile phone","1402122"," 91.9"
2018,"Regional Council","Total","Total","2","Access to a telephone","953457"," 62.5"
2018,"Regional Council","Total","Total","3","Access to a fax machine","0","  0.0"
