"Year","Area_type","Area_code","Area_description","Years_since_arrival_in_New_Zealand_code","Years_since_arrival_in_New_Zealand_description","Overseas_born_census_usually_resident_population_count","Years_since_arrival_in_New_Zealand_percent"
2006,"Regional Council","01","Northland Region","01","Less than 1 year","1137","   6.2"
2006,"Regional Council","01","Northland Region","02","1 year","984","   5.3"
2006,"Regional Council","01","Northland Region","03","2 years","852","   4.6"
2006,"Regional Council","01","Northland Region","04","3 years","942","   5.1"
2006,"Regional Council","01","Northland Region","05","4 years","720","   3.9"
2006,"Regional Council","01","Northland Region","06","5-9 years","2235","  12.1"
2006,"Regional Council","01","Northland Region","07","10-19 years","2619","  14.2"
2006,"Regional Council","01","Northland Region","08","20 years or more","8940","  48.5"
2006,"Regional Council","01","Northland Region","09","Not elsewhere included","933",".."
2006,"Regional Council","01","Northland Region","Total","Total","19362",".."
2006,"Regional Council","01","Northland Region","Total stated","Total stated","18432"," 100.0"
2006,"Regional Council","02","Auckland Region","01","Less than 1 year","28299","   6.5"
2006,"Regional Council","02","Auckland Region","02","1 year","23913","   5.5"
2006,"Regional Council","02","Auckland Region","03","2 years","28203","   6.5"
2006,"Regional Council","02","Auckland Region","04","3 years","36480","   8.4"
2006,"Regional Council","02","Auckland Region","05","4 years","32454","   7.4"
2006,"Regional Council","02","Auckland Region","06","5-9 years","88017","  20.2"
2006,"Regional Council","02","Auckland Region","07","10-19 years","87639","  20.1"
2006,"Regional Council","02","Auckland Region","08","20 years or more","110772","  25.4"
2006,"Regional Council","02","Auckland Region","09","Not elsewhere included","20598",".."
2006,"Regional Council","02","Auckland Region","Total","Total","456378",".."
2006,"Regional Council","02","Auckland Region","Total stated","Total stated","435780"," 100.0"
2006,"Regional Council","03","Waikato Region","01","Less than 1 year","3936","   7.1"
2006,"Regional Council","03","Waikato Region","02","1 year","3306","   6.0"
2006,"Regional Council","03","Waikato Region","03","2 years","3306","   6.0"
2006,"Regional Council","03","Waikato Region","04","3 years","3753","   6.8"
2006,"Regional Council","03","Waikato Region","05","4 years","3135","   5.6"
2006,"Regional Council","03","Waikato Region","06","5-9 years","8001","  14.4"
2006,"Regional Council","03","Waikato Region","07","10-19 years","8343","  15.0"
2006,"Regional Council","03","Waikato Region","08","20 years or more","21753","  39.2"
