"Year","Area_type","Area_code","Area_description","Dwelling_record_type_code","Dwelling_record_type_description","Dwelling_occupancy_status_code","Dwelling_occupancy_status_description","Dwellings"
"2018","Regional Council","01","Northland Region","1","Private dwelling","1","Occupied dwelling","64911"
"2018","Regional Council","01","Northland Region","1","Private dwelling","2","Unoccupied dwelling","14478"
"2018","Regional Council","01","Northland Region","1","Private dwelling","3","Dwelling under construction","693"
"2018","Regional Council","01","Northland Region","1","Private dwelling","Total","Total","80082"
"2018","Regional Council","01","Northland Region","2","Non-private dwelling","1","Occupied dwelling","549"
"2018","Regional Council","01","Northland Region","2","Non-private dwelling","2","Unoccupied dwelling","318"
"2018","Regional Council","01","Northland Region","2","Non-private dwelling","3","Dwelling under construction","9"
"2018","Regional Council","01","Northland Region","2","Non-private dwelling","Total","Total","876"
"2018","Regional Council","01","Northland Region","Total","Total","1","Occupied dwelling","65460"
"2018","Regional Council","01","Northland Region","Total","Total","2","Unoccupied dwelling","14799"
"2018","Regional Council","01","Northland Region","Total","Total","3","Dwelling under construction","699"
"2018","Regional Council","01","Northland Region","Total","Total","Total","Total","80958"
"2018","Regional Council","02","Auckland Region","1","Private dwelling","1","Occupied dwelling","498789"
"2018","Regional Council","02","Auckland Region","1","Private dwelling","2","Unoccupied dwelling","39393"
"2018","Regional Council","02","Auckland Region","1","Private dwelling","3","Dwelling under construction","6942"
"2018","Regional Council","02","Auckland Region","1","Private dwelling","Total","Total","545127"
"2018","Regional Council","02","Auckland Region","2","Non-private dwelling","1","Occupied dwelling","1476"
"2018","Regional Council","02","Auckland Region","2","Non-private dwelling","2","Unoccupied dwelling","372"
"2018","Regional Council","02","Auckland Region","2","Non-private dwelling","3","Dwelling under construction","87"
"2018","Regional Council","02","Auckland Region","2","Non-private dwelling","Total","Total","1935"
"2018","Regional Council","02","Auckland Region","Total","Total","1","Occupied dwelling","500265"
"2018","Regional Council","02","Auckland Region","Total","Total","2","Unoccupied dwelling","39765"
"2018","Regional Council","02","Auckland Region","Total","Total","3","Dwelling under construction","7029"
"2018","Regional Council","02","Auckland Region","Total","Total","Total","Total","547059"
"2018","Regional Council","03","Waikato Region","1","Private dwelling","1","Occupied dwelling","164196"
"2018","Regional Council","03","Waikato Region","1","Private dwelling","2","Unoccupied dwelling","31269"
"2018","Regional Council","03","Waikato Region","1","Private dwelling","3","Dwelling under construction","1257"
"2018","Regional Council","03","Waikato Region","1","Private dwelling","Total","Total","196722"
"2018","Regional Council","03","Waikato Region","2","Non-private dwelling","1","Occupied dwelling","1059"
"2018","Regional Council","03","Waikato Region","2","Non-private dwelling","2","Unoccupied dwelling","507"
"2018","Regional Council","03","Waikato Region","2","Non-private dwelling","3","Dwelling under construction","3"
"2018","Regional Council","03","Waikato Region","2","Non-private dwelling","Total","Total","1569"
"2018","Regional Council","03","Waikato Region","Total","Total","1","Occupied dwelling","165258"
"2018","Regional Council","03","Waikato Region","Total","Total","2","Unoccupied dwelling","31779"
"2018","Regional Council","03","Waikato Region","Total","Total","3","Dwelling under construction","1257"
"2018","Regional Council","03","Waikato Region","Total","Total","Total","Total","198291"
"2018","Regional Council","04","Bay of Plenty Region","1","Private dwelling","1","Occupied dwelling","111684"
"2018","Regional Council","04","Bay of Plenty Region","1","Private dwelling","2","Unoccupied dwelling","14199"
"2018","Regional Council","04","Bay of Plenty Region","1","Private dwelling","3","Dwelling under construction","978"
"2018","Regional Council","04","Bay of Plenty Region","1","Private dwelling","Total","Total","126861"
"2018","Regional Council","04","Bay of Plenty Region","2","Non-private dwelling","1","Occupied dwelling","579"
"2018","Regional Council","04","Bay of Plenty Region","2","Non-private dwelling","2","Unoccupied dwelling","366"
"2018","Regional Council","04","Bay of Plenty Region","2","Non-private dwelling","3","Dwelling under construction","6"
"2018","Regional Council","04","Bay of Plenty Region","2","Non-private dwelling","Total","Total","954"
"2018","Regional Council","04","Bay of Plenty Region","Total","Total","1","Occupied dwelling","112263"
"2018","Regional Council","04","Bay of Plenty Region","Total","Total","2","Unoccupied dwelling","14568"
"2018","Regional Council","04","Bay of Plenty Region","Total","Total","3","Dwelling under construction","981"
"2018","Regional Council","04","Bay of Plenty Region","Total","Total","Total","Total","127812"
"2018","Regional Council","05","Gisborne Region","1","Private dwelling","1","Occupied dwelling","16509"
"2018","Regional Council","05","Gisborne Region","1","Private dwelling","2","Unoccupied dwelling","1929"
"2018","Regional Council","05","Gisborne Region","1","Private dwelling","3","Dwelling under construction","36"
"2018","Regional Council","05","Gisborne Region","1","Private dwelling","Total","Total","18477"
"2018","Regional Council","05","Gisborne Region","2","Non-private dwelling","1","Occupied dwelling","105"
"2018","Regional Council","05","Gisborne Region","2","Non-private dwelling","2","Unoccupied dwelling","105"
"2018","Regional Council","05","Gisborne Region","2","Non-private dwelling","3","Dwelling under construction","0"
"2018","Regional Council","05","Gisborne Region","2","Non-private dwelling","Total","Total","210"
"2018","Regional Council","05","Gisborne Region","Total","Total","1","Occupied dwelling","16614"
"2018","Regional Council","05","Gisborne Region","Total","Total","2","Unoccupied dwelling","2034"
"2018","Regional Council","05","Gisborne Region","Total","Total","3","Dwelling under construction","36"
"2018","Regional Council","05","Gisborne Region","Total","Total","Total","Total","18684"
"2018","Regional Council","06","Hawke's Bay Region","1","Private dwelling","1","Occupied dwelling","60531"
"2018","Regional Council","06","Hawke's Bay Region","1","Private dwelling","2","Unoccupied dwelling","5589"
"2018","Regional Council","06","Hawke's Bay Region","1","Private dwelling","3","Dwelling under construction","192"
"2018","Regional Council","06","Hawke's Bay Region","1","Private dwelling","Total","Total","66312"
"2018","Regional Council","06","Hawke's Bay Region","2","Non-private dwelling","1","Occupied dwelling","408"
"2018","Regional Council","06","Hawke's Bay Region","2","Non-private dwelling","2","Unoccupied dwelling","264"
"2018","Regional Council","06","Hawke's Bay Region","2","Non-private dwelling","3","Dwelling under construction","3"
"2018","Regional Council","06","Hawke's Bay Region","2","Non-private dwelling","Total","Total","678"
"2018","Regional Council","06","Hawke's Bay Region","Total","Total","1","Occupied dwelling","60939"
"2018","Regional Council","06","Hawke's Bay Region","Total","Total","2","Unoccupied dwelling","5856"
"2018","Regional Council","06","Hawke's Bay Region","Total","Total","3","Dwelling under construction","198"
"2018","Regional Council","06","Hawke's Bay Region","Total","Total","Total","Total","66990"
"2018","Regional Council","07","Taranaki Region","1","Private dwelling","1","Occupied dwelling","45444"
"2018","Regional Council","07","Taranaki Region","1","Private dwelling","2","Unoccupied dwelling","4059"
"2018","Regional Council","07","Taranaki Region","1","Private dwelling","3","Dwelling under construction","183"
"2018","Regional Council","07","Taranaki Region","1","Private dwelling","Total","Total","49689"
"2018","Regional Council","07","Taranaki Region","2","Non-private dwelling","1","Occupied dwelling","192"
"2018","Regional Council","07","Taranaki Region","2","Non-private dwelling","2","Unoccupied dwelling","120"
"2018","Regional Council","07","Taranaki Region","2","Non-private dwelling","3","Dwelling under construction","3"
"2018","Regional Council","07","Taranaki Region","2","Non-private dwelling","Total","Total","315"
"2018","Regional Council","07","Taranaki Region","Total","Total","1","Occupied dwelling","45636"
"2018","Regional Council","07","Taranaki Region","Total","Total","2","Unoccupied dwelling","4179"
"2018","Regional Council","07","Taranaki Region","Total","Total","3","Dwelling under construction","186"
"2018","Regional Council","07","Taranaki Region","Total","Total","Total","Total","50004"
"2018","Regional Council","08","Manawatu-Wanganui Region","1","Private dwelling","1","Occupied dwelling","90810"
"2018","Regional Council","08","Manawatu-Wanganui Region","1","Private dwelling","2","Unoccupied dwelling","11187"
"2018","Regional Council","08","Manawatu-Wanganui Region","1","Private dwelling","3","Dwelling under construction","357"
"2018","Regional Council","08","Manawatu-Wanganui Region","1","Private dwelling","Total","Total","102354"
"2018","Regional Council","08","Manawatu-Wanganui Region","2","Non-private dwelling","1","Occupied dwelling","552"
"2018","Regional Council","08","Manawatu-Wanganui Region","2","Non-private dwelling","2","Unoccupied dwelling","408"
"2018","Regional Council","08","Manawatu-Wanganui Region","2","Non-private dwelling","3","Dwelling under construction","3"
"2018","Regional Council","08","Manawatu-Wanganui Region","2","Non-private dwelling","Total","Total","966"
"2018","Regional Council","08","Manawatu-Wanganui Region","Total","Total","1","Occupied dwelling","91365"
"2018","Regional Council","08","Manawatu-Wanganui Region","Total","Total","2","Unoccupied dwelling","11598"
"2018","Regional Council","08","Manawatu-Wanganui Region","Total","Total","3","Dwelling under construction","360"
"2018","Regional Council","08","Manawatu-Wanganui Region","Total","Total","Total","Total","103317"
"2018","Regional Council","09","Wellington Region","1","Private dwelling","1","Occupied dwelling","186225"
"2018","Regional Council","09","Wellington Region","1","Private dwelling","2","Unoccupied dwelling","14754"
"2018","Regional Council","09","Wellington Region","1","Private dwelling","3","Dwelling under construction","1068"
"2018","Regional Council","09","Wellington Region","1","Private dwelling","Total","Total","202047"
"2018","Regional Council","09","Wellington Region","2","Non-private dwelling","1","Occupied dwelling","708"
"2018","Regional Council","09","Wellington Region","2","Non-private dwelling","2","Unoccupied dwelling","261"
"2018","Regional Council","09","Wellington Region","2","Non-private dwelling","3","Dwelling under construction","6"
"2018","Regional Council","09","Wellington Region","2","Non-private dwelling","Total","Total","972"
"2018","Regional Council","09","Wellington Region","Total","Total","1","Occupied dwelling","186930"
"2018","Regional Council","09","Wellington Region","Total","Total","2","Unoccupied dwelling","15015"
"2018","Regional Council","09","Wellington Region","Total","Total","3","Dwelling under construction","1074"
"2018","Regional Council","09","Wellington Region","Total","Total","Total","Total","203019"
"2018","Regional Council","12","West Coast Region","1","Private dwelling","1","Occupied dwelling","13695"
"2018","Regional Council","12","West Coast Region","1","Private dwelling","2","Unoccupied dwelling","3147"
"2018","Regional Council","12","West Coast Region","1","Private dwelling","3","Dwelling under construction","54"
"2018","Regional Council","12","West Coast Region","1","Private dwelling","Total","Total","16896"
"2018","Regional Council","12","West Coast Region","2","Non-private dwelling","1","Occupied dwelling","324"
"2018","Regional Council","12","West Coast Region","2","Non-private dwelling","2","Unoccupied dwelling","324"
"2018","Regional Council","12","West Coast Region","2","Non-private dwelling","3","Dwelling under construction","3"
"2018","Regional Council","12","West Coast Region","2","Non-private dwelling","Total","Total","651"
"2018","Regional Council","12","West Coast Region","Total","Total","1","Occupied dwelling","14019"
"2018","Regional Council","12","West Coast Region","Total","Total","2","Unoccupied dwelling","3468"
"2018","Regional Council","12","West Coast Region","Total","Total","3","Dwelling under construction","57"
