"Year","Area_type","Area_code","Area_description","Main_means_of_travel_to_education_code","Main_means_of_travel_to_education_description","Census_usually_resident_population_count_participating_in_study","Main_means_of_travel_to_education_percent"
2018,"Regional Council","01","Northland Region","001","Study at home","2829","  7.0"
2018,"Regional Council","01","Northland Region","002","Drive a car, truck, or van","3801","  9.5"
2018,"Regional Council","01","Northland Region","003","Passenger in a car, truck, or van","17058"," 42.5"
2018,"Regional Council","01","Northland Region","004","Bicycle","492","  1.2"
2018,"Regional Council","01","Northland Region","005","Walk or jog","4818"," 12.0"
2018,"Regional Council","01","Northland Region","006","School bus","10227"," 25.5"
2018,"Regional Council","01","Northland Region","007","Public bus","555","  1.4"
2018,"Regional Council","01","Northland Region","008","Train","21","  0.1"
2018,"Regional Council","01","Northland Region","009","Ferry","18","  0.0"
2018,"Regional Council","01","Northland Region","010","Other","357","  0.9"
2018,"Regional Council","01","Northland Region","999","Not elsewhere included","0",".."
2018,"Regional Council","01","Northland Region","Total","Total","40173",".."
2018,"Regional Council","01","Northland Region","Total stated","Total stated","40173","100.0"
2018,"Regional Council","02","Auckland Region","001","Study at home","15624","  3.9"
2018,"Regional Council","02","Auckland Region","002","Drive a car, truck, or van","45618"," 11.4"
2018,"Regional Council","02","Auckland Region","003","Passenger in a car, truck, or van","155037"," 38.6"
2018,"Regional Council","02","Auckland Region","004","Bicycle","5967","  1.5"
2018,"Regional Council","02","Auckland Region","005","Walk or jog","84459"," 21.0"
2018,"Regional Council","02","Auckland Region","006","School bus","27045","  6.7"
2018,"Regional Council","02","Auckland Region","007","Public bus","46212"," 11.5"
2018,"Regional Council","02","Auckland Region","008","Train","15186","  3.8"
2018,"Regional Council","02","Auckland Region","009","Ferry","1368","  0.3"
2018,"Regional Council","02","Auckland Region","010","Other","5115","  1.3"
2018,"Regional Council","02","Auckland Region","999","Not elsewhere included","0",".."
2018,"Regional Council","02","Auckland Region","Total","Total","401631",".."
2018,"Regional Council","02","Auckland Region","Total stated","Total stated","401631","100.0"
2018,"Regional Council","03","Waikato Region","001","Study at home","6486","  5.7"
2018,"Regional Council","03","Waikato Region","002","Drive a car, truck, or van","14580"," 12.9"
2018,"Regional Council","03","Waikato Region","003","Passenger in a car, truck, or van","48792"," 43.0"
2018,"Regional Council","03","Waikato Region","004","Bicycle","4248","  3.7"
2018,"Regional Council","03","Waikato Region","005","Walk or jog","19506"," 17.2"
2018,"Regional Council","03","Waikato Region","006","School bus","13545"," 11.9"
2018,"Regional Council","03","Waikato Region","007","Public bus","4902","  4.3"
2018,"Regional Council","03","Waikato Region","008","Train","177","  0.2"
2018,"Regional Council","03","Waikato Region","009","Ferry","15","  0.0"
2018,"Regional Council","03","Waikato Region","010","Other","1116","  1.0"
2018,"Regional Council","03","Waikato Region","999","Not elsewhere included","0",".."
2018,"Regional Council","03","Waikato Region","Total","Total","113370",".."
