"Year","Area_type","Area_code","Area_description","Maori_ethnic_group_indicator_summary_code","Maori_ethnic_group_indicator_summary_description","Median_total_personal_income_$"
"2018","Regional Council","01","Northland Region","00","No 'Maori' response given","27400"
"2018","Regional Council","01","Northland Region","20","Maori","20800"
"2018","Regional Council","01","Northland Region","Total","Total","24800"
"2018","Regional Council","02","Auckland Region","00","No 'Maori' response given","35200"
"2018","Regional Council","02","Auckland Region","20","Maori","27000"
"2018","Regional Council","02","Auckland Region","Total","Total","34400"
"2018","Regional Council","03","Waikato Region","00","No 'Maori' response given","32700"
"2018","Regional Council","03","Waikato Region","20","Maori","23400"
"2018","Regional Council","03","Waikato Region","Total","Total","30400"
"2018","Regional Council","04","Bay of Plenty Region","00","No 'Maori' response given","31800"
"2018","Regional Council","04","Bay of Plenty Region","20","Maori","22800"
"2018","Regional Council","04","Bay of Plenty Region","Total","Total","29100"
"2018","Regional Council","05","Gisborne Region","00","No 'Maori' response given","31100"
"2018","Regional Council","05","Gisborne Region","20","Maori","22200"
"2018","Regional Council","05","Gisborne Region","Total","Total","25900"
"2018","Regional Council","06","Hawke's Bay Region","00","No 'Maori' response given","30400"
"2018","Regional Council","06","Hawke's Bay Region","20","Maori","22500"
"2018","Regional Council","06","Hawke's Bay Region","Total","Total","28300"
"2018","Regional Council","07","Taranaki Region","00","No 'Maori' response given","31300"
"2018","Regional Council","07","Taranaki Region","20","Maori","23800"
"2018","Regional Council","07","Taranaki Region","Total","Total","29900"
"2018","Regional Council","08","Manawatu-Wanganui Region","00","No 'Maori' response given","28400"
"2018","Regional Council","08","Manawatu-Wanganui Region","20","Maori","22900"
"2018","Regional Council","08","Manawatu-Wanganui Region","Total","Total","27200"
"2018","Regional Council","09","Wellington Region","00","No 'Maori' response given","37400"
"2018","Regional Council","09","Wellington Region","20","Maori","27400"
"2018","Regional Council","09","Wellington Region","Total","Total","36100"
"2018","Regional Council","12","West Coast Region","00","No 'Maori' response given","26700"
"2018","Regional Council","12","West Coast Region","20","Maori","23600"
"2018","Regional Council","12","West Coast Region","Total","Total","26400"
"2018","Regional Council","13","Canterbury Region","00","No 'Maori' response given","34200"
"2018","Regional Council","13","Canterbury Region","20","Maori","28500"
