"Year","Area_type","Area_code","Area_description","Languages_spoken_total_responses_code","Languages_spoken_total_responses_description","Census_usually_resident_population_count","Languages_spoken_total_responses_percent"
2018,"Regional Council","01","Northland Region","01","English","173847"," 97.1"
2018,"Regional Council","01","Northland Region","02","Maori","17763","  9.9"
2018,"Regional Council","01","Northland Region","03","Samoan","627","  0.4"
2018,"Regional Council","01","Northland Region","04","Northern Chinese","378","  0.2"
2018,"Regional Council","01","Northland Region","05","Hindi","606","  0.3"
2018,"Regional Council","01","Northland Region","06","French","1719","  1.0"
2018,"Regional Council","01","Northland Region","07","Yue","309","  0.2"
2018,"Regional Council","01","Northland Region","08","Sinitic not further defined","255","  0.1"
2018,"Regional Council","01","Northland Region","09","Tagalog","633","  0.4"
2018,"Regional Council","01","Northland Region","10","German","1749","  1.0"
2018,"Regional Council","01","Northland Region","11","Spanish","879","  0.5"
2018,"Regional Council","01","Northland Region","12","Afrikaans","1167","  0.7"
2018,"Regional Council","01","Northland Region","13","Tongan","363","  0.2"
2018,"Regional Council","01","Northland Region","14","Panjabi","258","  0.1"
2018,"Regional Council","01","Northland Region","15","New Zealand Sign Language","966","  0.5"
2018,"Regional Council","01","Northland Region","16","Other","5784","  3.2"
2018,"Regional Council","01","Northland Region","17","None (eg too young to talk)","3600","  2.0"
2018,"Regional Council","01","Northland Region","99","Not elsewhere included","0",".."
2018,"Regional Council","01","Northland Region","Total","Total","179076",".."
2018,"Regional Council","01","Northland Region","Total stated","Total stated","179076","100.0"
2018,"Regional Council","02","Auckland Region","01","English","1458687"," 92.8"
2018,"Regional Council","02","Auckland Region","02","Maori","38121","  2.4"
2018,"Regional Council","02","Auckland Region","03","Samoan","69402","  4.4"
2018,"Regional Council","02","Auckland Region","04","Northern Chinese","69399","  4.4"
2018,"Regional Council","02","Auckland Region","05","Hindi","47436","  3.0"
2018,"Regional Council","02","Auckland Region","06","French","19269","  1.2"
2018,"Regional Council","02","Auckland Region","07","Yue","36492","  2.3"
2018,"Regional Council","02","Auckland Region","08","Sinitic not further defined","36036","  2.3"
2018,"Regional Council","02","Auckland Region","09","Tagalog","20358","  1.3"
2018,"Regional Council","02","Auckland Region","10","German","12924","  0.8"
2018,"Regional Council","02","Auckland Region","11","Spanish","15012","  1.0"
2018,"Regional Council","02","Auckland Region","12","Afrikaans","16980","  1.1"
2018,"Regional Council","02","Auckland Region","13","Tongan","28536","  1.8"
2018,"Regional Council","02","Auckland Region","14","Panjabi","20781","  1.3"
2018,"Regional Council","02","Auckland Region","15","New Zealand Sign Language","6261","  0.4"
2018,"Regional Council","02","Auckland Region","16","Other","192318"," 12.2"
2018,"Regional Council","02","Auckland Region","17","None (eg too young to talk)","37770","  2.4"
2018,"Regional Council","02","Auckland Region","99","Not elsewhere included","12",".."
2018,"Regional Council","02","Auckland Region","Total","Total","1571718",".."
2018,"Regional Council","02","Auckland Region","Total stated","Total stated","1571709","100.0"
2018,"Regional Council","03","Waikato Region","01","English","440925"," 96.2"
2018,"Regional Council","03","Waikato Region","02","Maori","26883","  5.9"
2018,"Regional Council","03","Waikato Region","03","Samoan","2547","  0.6"
2018,"Regional Council","03","Waikato Region","04","Northern Chinese","4428","  1.0"
2018,"Regional Council","03","Waikato Region","05","Hindi","4584","  1.0"
2018,"Regional Council","03","Waikato Region","06","French","3543","  0.8"
2018,"Regional Council","03","Waikato Region","07","Yue","2157","  0.5"
2018,"Regional Council","03","Waikato Region","08","Sinitic not further defined","2808","  0.6"
2018,"Regional Council","03","Waikato Region","09","Tagalog","3345","  0.7"
2018,"Regional Council","03","Waikato Region","10","German","3030","  0.7"
2018,"Regional Council","03","Waikato Region","11","Spanish","2844","  0.6"
2018,"Regional Council","03","Waikato Region","12","Afrikaans","4128","  0.9"
2018,"Regional Council","03","Waikato Region","13","Tongan","1233","  0.3"
2018,"Regional Council","03","Waikato Region","14","Panjabi","3291","  0.7"
2018,"Regional Council","03","Waikato Region","15","New Zealand Sign Language","2331","  0.5"
2018,"Regional Council","03","Waikato Region","16","Other","22647","  4.9"
2018,"Regional Council","03","Waikato Region","17","None (eg too young to talk)","10293","  2.2"
2018,"Regional Council","03","Waikato Region","99","Not elsewhere included","3",".."
2018,"Regional Council","03","Waikato Region","Total","Total","458202",".."
2018,"Regional Council","03","Waikato Region","Total stated","Total stated","458202","100.0"
2018,"Regional Council","04","Bay of Plenty Region","01","English","297837"," 96.5"
2018,"Regional Council","04","Bay of Plenty Region","02","Maori","26598","  8.6"
2018,"Regional Council","04","Bay of Plenty Region","03","Samoan","1053","  0.3"
2018,"Regional Council","04","Bay of Plenty Region","04","Northern Chinese","1314","  0.4"
2018,"Regional Council","04","Bay of Plenty Region","05","Hindi","2046","  0.7"
2018,"Regional Council","04","Bay of Plenty Region","06","French","2538","  0.8"
2018,"Regional Council","04","Bay of Plenty Region","07","Yue","843","  0.3"
2018,"Regional Council","04","Bay of Plenty Region","08","Sinitic not further defined","816","  0.3"
2018,"Regional Council","04","Bay of Plenty Region","09","Tagalog","1767","  0.6"
2018,"Regional Council","04","Bay of Plenty Region","10","German","2226","  0.7"
2018,"Regional Council","04","Bay of Plenty Region","11","Spanish","2064","  0.7"
2018,"Regional Council","04","Bay of Plenty Region","12","Afrikaans","2313","  0.7"
