"Year","Area_type","Area_code","Area_description","Median_weekly_rent_paid_by_household_$"
"2013","Regional Council","01","Northland Region","230"
"2013","Regional Council","02","Auckland Region","350"
"2013","Regional Council","03","Waikato Region","250"
"2013","Regional Council","04","Bay of Plenty Region","260"
"2013","Regional Council","05","Gisborne Region","200"
"2013","Regional Council","06","Hawke's Bay Region","240"
"2013","Regional Council","07","Taranaki Region","220"
"2013","Regional Council","08","Manawatu-Wanganui Region","200"
"2013","Regional Council","09","Wellington Region","300"
"2013","Regional Council","12","West Coast Region","200"
"2013","Regional Council","13","Canterbury Region","280"
"2013","Regional Council","14","Otago Region","250"
"2013","Regional Council","15","Southland Region","180"
"2013","Regional Council","16","Tasman Region","260"
"2013","Regional Council","17","Nelson Region","290"
"2013","Regional Council","18","Marlborough Region","250"
"2013","Regional Council","99","Area Outside Region","120"
"2013","Regional Council","Total","Total","280"
"2013","Territorial Authority Local Board","00100","Far North District","200"
"2013","Territorial Authority Local Board","00200","Whangarei District","250"
"2013","Territorial Authority Local Board","00300","Kaipara District","200"
"2013","Territorial Authority Local Board","01100","Thames-Coromandel District","230"
"2013","Territorial Authority Local Board","01200","Hauraki District","210"
"2013","Territorial Authority Local Board","01300","Waikato District","240"
"2013","Territorial Authority Local Board","01500","Matamata-Piako District","220"
"2013","Territorial Authority Local Board","01600","Hamilton City","290"
"2013","Territorial Authority Local Board","01700","Waipa District","260"
"2013","Territorial Authority Local Board","01800","Otorohanga District","170"
"2013","Territorial Authority Local Board","01900","South Waikato District","160"
"2013","Territorial Authority Local Board","02000","Waitomo District","160"
"2013","Territorial Authority Local Board","02100","Taupo District","250"
"2013","Territorial Authority Local Board","02200","Western Bay of Plenty District","250"
"2013","Territorial Authority Local Board","02300","Tauranga City","300"
"2013","Territorial Authority Local Board","02400","Rotorua District","230"
"2013","Territorial Authority Local Board","02500","Whakatane District","220"
"2013","Territorial Authority Local Board","02600","Kawerau District","180"
"2013","Territorial Authority Local Board","02700","Opotiki District","170"
"2013","Territorial Authority Local Board","02800","Gisborne District","200"
"2013","Territorial Authority Local Board","02900","Wairoa District","140"
"2013","Territorial Authority Local Board","03000","Hastings District","250"
"2013","Territorial Authority Local Board","03100","Napier City","260"
"2013","Territorial Authority Local Board","03200","Central Hawke's Bay District","170"
"2013","Territorial Authority Local Board","03300","New Plymouth District","250"
"2013","Territorial Authority Local Board","03400","Stratford District","190"
"2013","Territorial Authority Local Board","03500","South Taranaki District","180"
"2013","Territorial Authority Local Board","03600","Ruapehu District","140"
"2013","Territorial Authority Local Board","03700","Whanganui District","180"
"2013","Territorial Authority Local Board","03800","Rangitikei District","160"
"2013","Territorial Authority Local Board","03900","Manawatu District","200"
"2013","Territorial Authority Local Board","04000","Palmerston North City","250"
"2013","Territorial Authority Local Board","04100","Tararua District","150"
"2013","Territorial Authority Local Board","04200","Horowhenua District","190"
"2013","Territorial Authority Local Board","04300","Kapiti Coast District","280"
"2013","Territorial Authority Local Board","04400","Porirua City","250"
"2013","Territorial Authority Local Board","04500","Upper Hutt City","260"
