"Year","Area_type","Area_code","Area_description","Ethnic_group_total_responses_code","Ethnic_group_total_responses_description","Census_usually_resident_population_count","Ethnic_group_total_responses_percent"
2006,"Regional Council","01","Northland Region","1","European","93351","  68.0"
2006,"Regional Council","01","Northland Region","2","Maori","43527","  31.7"
2006,"Regional Council","01","Northland Region","3","Pacific peoples","3705","   2.7"
2006,"Regional Council","01","Northland Region","4","Asian","2580","   1.9"
2006,"Regional Council","01","Northland Region","5","Middle Eastern/Latin American/African","348","   0.3"
2006,"Regional Council","01","Northland Region","6","Other ethnicity","14739","  10.7"
2006,"Regional Council","01","Northland Region","9","Not elsewhere included","11166",".."
2006,"Regional Council","01","Northland Region","Total","Total","148470",".."
2006,"Regional Council","01","Northland Region","Total stated","Total stated","137304"," 100.0"
2006,"Regional Council","02","Auckland Region","1","European","700158","  56.5"
2006,"Regional Council","02","Auckland Region","2","Maori","137304","  11.1"
2006,"Regional Council","02","Auckland Region","3","Pacific peoples","177948","  14.4"
2006,"Regional Council","02","Auckland Region","4","Asian","234279","  18.9"
2006,"Regional Council","02","Auckland Region","5","Middle Eastern/Latin American/African","18561","   1.5"
2006,"Regional Council","02","Auckland Region","6","Other ethnicity","100110","   8.1"
2006,"Regional Council","02","Auckland Region","9","Not elsewhere included","65907",".."
2006,"Regional Council","02","Auckland Region","Total","Total","1304958",".."
2006,"Regional Council","02","Auckland Region","Total stated","Total stated","1239054"," 100.0"
2006,"Regional Council","03","Waikato Region","1","European","255786","  70.4"
2006,"Regional Council","03","Waikato Region","2","Maori","76404","  21.0"
2006,"Regional Council","03","Waikato Region","3","Pacific peoples","11781","   3.2"
2006,"Regional Council","03","Waikato Region","4","Asian","18144","   5.0"
2006,"Regional Council","03","Waikato Region","5","Middle Eastern/Latin American/African","2424","   0.7"
2006,"Regional Council","03","Waikato Region","6","Other ethnicity","41751","  11.5"
2006,"Regional Council","03","Waikato Region","9","Not elsewhere included","17349",".."
2006,"Regional Council","03","Waikato Region","Total","Total","380823",".."
2006,"Regional Council","03","Waikato Region","Total stated","Total stated","363477"," 100.0"
2006,"Regional Council","04","Bay of Plenty Region","1","European","165012","  67.1"
2006,"Regional Council","04","Bay of Plenty Region","2","Maori","67662","  27.5"
2006,"Regional Council","04","Bay of Plenty Region","3","Pacific peoples","6465","   2.6"
2006,"Regional Council","04","Bay of Plenty Region","4","Asian","7821","   3.2"
2006,"Regional Council","04","Bay of Plenty Region","5","Middle Eastern/Latin American/African","783","   0.3"
2006,"Regional Council","04","Bay of Plenty Region","6","Other ethnicity","30123","  12.3"
2006,"Regional Council","04","Bay of Plenty Region","9","Not elsewhere included","11604",".."
