"Year","Area_type","Area_code","Area_description","Number_of_languages_spoken_code","Number_of_languages_spoken_description","Census_usually_resident_population_count","Number_of_languages_spoken_percent"
2018,"Regional Council","01","Northland Region","00","None","3600","  2.0"
2018,"Regional Council","01","Northland Region","01","One language","147318"," 82.3"
2018,"Regional Council","01","Northland Region","02","Two languages","24963"," 13.9"
2018,"Regional Council","01","Northland Region","03","Three languages","2406","  1.3"
2018,"Regional Council","01","Northland Region","04","Four languages","576","  0.3"
2018,"Regional Council","01","Northland Region","05","Five languages","147","  0.1"
2018,"Regional Council","01","Northland Region","06","Six languages","66","  0.0"
2018,"Regional Council","01","Northland Region","99","Not elsewhere included","0",".."
2018,"Regional Council","01","Northland Region","Total","Total","179076",".."
2018,"Regional Council","01","Northland Region","Total stated","Total stated","179076","100.0"
2018,"Regional Council","02","Auckland Region","00","None","37770","  2.4"
2018,"Regional Council","02","Auckland Region","01","One language","1059387"," 67.4"
2018,"Regional Council","02","Auckland Region","02","Two languages","394854"," 25.1"
2018,"Regional Council","02","Auckland Region","03","Three languages","64491","  4.1"
2018,"Regional Council","02","Auckland Region","04","Four languages","11595","  0.7"
2018,"Regional Council","02","Auckland Region","05","Five languages","2799","  0.2"
2018,"Regional Council","02","Auckland Region","06","Six languages","813","  0.1"
2018,"Regional Council","02","Auckland Region","99","Not elsewhere included","12",".."
2018,"Regional Council","02","Auckland Region","Total","Total","1571718",".."
2018,"Regional Council","02","Auckland Region","Total stated","Total stated","1571709","100.0"
2018,"Regional Council","03","Waikato Region","00","None","10293","  2.2"
2018,"Regional Council","03","Waikato Region","01","One language","375438"," 81.9"
2018,"Regional Council","03","Waikato Region","02","Two languages","62592"," 13.7"
2018,"Regional Council","03","Waikato Region","03","Three languages","7881","  1.7"
2018,"Regional Council","03","Waikato Region","04","Four languages","1542","  0.3"
2018,"Regional Council","03","Waikato Region","05","Five languages","333","  0.1"
2018,"Regional Council","03","Waikato Region","06","Six languages","117","  0.0"
2018,"Regional Council","03","Waikato Region","99","Not elsewhere included","3",".."
2018,"Regional Council","03","Waikato Region","Total","Total","458202",".."
2018,"Regional Council","03","Waikato Region","Total stated","Total stated","458202","100.0"
2018,"Regional Council","04","Bay of Plenty Region","00","None","6339","  2.1"
2018,"Regional Council","04","Bay of Plenty Region","01","One language","252096"," 81.7"
2018,"Regional Council","04","Bay of Plenty Region","02","Two languages","44406"," 14.4"
2018,"Regional Council","04","Bay of Plenty Region","03","Three languages","4605","  1.5"
2018,"Regional Council","04","Bay of Plenty Region","04","Four languages","783","  0.3"
2018,"Regional Council","04","Bay of Plenty Region","05","Five languages","198","  0.1"
2018,"Regional Council","04","Bay of Plenty Region","06","Six languages","72","  0.0"
2018,"Regional Council","04","Bay of Plenty Region","99","Not elsewhere included","3",".."
2018,"Regional Council","04","Bay of Plenty Region","Total","Total","308499",".."
2018,"Regional Council","04","Bay of Plenty Region","Total stated","Total stated","308496","100.0"
