"Year","Area_type","Area_code","Area_description","Disability_indicator_code","Disability_indicator_description","Maori_ethnic_group_indicator_summary_code","Maori_ethnic_group_indicator_summary_description","Census_usually_resident_population_count_aged_5_years_and_over","Disability_indicator_by_Maori_ethnic_group_indicator_summary_percent","Disability_indicator_percent"
2018,"Regional Council","01","Northland Region","0","Not disabled","00","No 'Maori' response given","85875",".."," 91.7"
2018,"Regional Council","01","Northland Region","0","Not disabled","20","Maori","34641"," 90.6"," 90.6"
2018,"Regional Council","01","Northland Region","0","Not disabled","Total","Total","120516",".."," 91.4"
2018,"Regional Council","01","Northland Region","1","Disabled","00","No 'Maori' response given","7779","..","  8.3"
2018,"Regional Council","01","Northland Region","1","Disabled","20","Maori","3588","  9.4","  9.4"
2018,"Regional Council","01","Northland Region","1","Disabled","Total","Total","11364","..","  8.6"
2018,"Regional Council","01","Northland Region","7","Response unidentifiable","00","No 'Maori' response given","21","..",".."
2018,"Regional Council","01","Northland Region","7","Response unidentifiable","20","Maori","21","..",".."
2018,"Regional Council","01","Northland Region","7","Response unidentifiable","Total","Total","45","..",".."
2018,"Regional Council","01","Northland Region","9","Not stated","00","No 'Maori' response given","15846","..",".."
2018,"Regional Council","01","Northland Region","9","Not stated","20","Maori","19626","..",".."
2018,"Regional Council","01","Northland Region","9","Not stated","Total","Total","35469","..",".."
2018,"Regional Council","01","Northland Region","Total","Total","00","No 'Maori' response given","109518","..",".."
2018,"Regional Council","01","Northland Region","Total","Total","20","Maori","57876","..",".."
2018,"Regional Council","01","Northland Region","Total","Total","Total","Total","167394","..",".."
2018,"Regional Council","01","Northland Region","Total stated","Total stated","00","No 'Maori' response given","93654","..","100.0"
2018,"Regional Council","01","Northland Region","Total stated","Total stated","20","Maori","38229","100.0","100.0"
2018,"Regional Council","01","Northland Region","Total stated","Total stated","Total","Total","131880","..","100.0"
2018,"Regional Council","02","Auckland Region","0","Not disabled","00","No 'Maori' response given","1028934",".."," 94.7"
2018,"Regional Council","02","Auckland Region","0","Not disabled","20","Maori","102594"," 92.6"," 92.6"
2018,"Regional Council","02","Auckland Region","0","Not disabled","Total","Total","1131528",".."," 94.5"
2018,"Regional Council","02","Auckland Region","1","Disabled","00","No 'Maori' response given","57609","..","  5.3"
2018,"Regional Council","02","Auckland Region","1","Disabled","20","Maori","8220","  7.4","  7.4"
2018,"Regional Council","02","Auckland Region","1","Disabled","Total","Total","65832","..","  5.5"
2018,"Regional Council","02","Auckland Region","7","Response unidentifiable","00","No 'Maori' response given","108","..",".."
2018,"Regional Council","02","Auckland Region","7","Response unidentifiable","20","Maori","33","..",".."
2018,"Regional Council","02","Auckland Region","7","Response unidentifiable","Total","Total","138","..",".."
2018,"Regional Council","02","Auckland Region","9","Not stated","00","No 'Maori' response given","220098","..",".."
2018,"Regional Council","02","Auckland Region","9","Not stated","20","Maori","51357","..",".."
2018,"Regional Council","02","Auckland Region","9","Not stated","Total","Total","271452","..",".."
2018,"Regional Council","02","Auckland Region","Total","Total","00","No 'Maori' response given","1306752","..",".."
2018,"Regional Council","02","Auckland Region","Total","Total","20","Maori","162201","..",".."
2018,"Regional Council","02","Auckland Region","Total","Total","Total","Total","1468953","..",".."
2018,"Regional Council","02","Auckland Region","Total stated","Total stated","00","No 'Maori' response given","1086546","..","100.0"
2018,"Regional Council","02","Auckland Region","Total stated","Total stated","20","Maori","110814","100.0","100.0"
2018,"Regional Council","02","Auckland Region","Total stated","Total stated","Total","Total","1197360","..","100.0"
2018,"Regional Council","03","Waikato Region","0","Not disabled","00","No 'Maori' response given","269301",".."," 93.3"
2018,"Regional Council","03","Waikato Region","0","Not disabled","20","Maori","61860"," 91.4"," 91.4"
2018,"Regional Council","03","Waikato Region","0","Not disabled","Total","Total","331164",".."," 93.0"
2018,"Regional Council","03","Waikato Region","1","Disabled","00","No 'Maori' response given","19227","..","  6.7"
2018,"Regional Council","03","Waikato Region","1","Disabled","20","Maori","5784","  8.6","  8.6"
2018,"Regional Council","03","Waikato Region","1","Disabled","Total","Total","25014","..","  7.0"
2018,"Regional Council","03","Waikato Region","7","Response unidentifiable","00","No 'Maori' response given","30","..",".."
2018,"Regional Council","03","Waikato Region","7","Response unidentifiable","20","Maori","30","..",".."
2018,"Regional Council","03","Waikato Region","7","Response unidentifiable","Total","Total","60","..",".."
2018,"Regional Council","03","Waikato Region","9","Not stated","00","No 'Maori' response given","40878","..",".."
2018,"Regional Council","03","Waikato Region","9","Not stated","20","Maori","30012","..",".."
2018,"Regional Council","03","Waikato Region","9","Not stated","Total","Total","70890","..",".."
2018,"Regional Council","03","Waikato Region","Total","Total","00","No 'Maori' response given","329439","..",".."
2018,"Regional Council","03","Waikato Region","Total","Total","20","Maori","97686","..",".."
2018,"Regional Council","03","Waikato Region","Total","Total","Total","Total","427122","..",".."
2018,"Regional Council","03","Waikato Region","Total stated","Total stated","00","No 'Maori' response given","288531","..","100.0"
2018,"Regional Council","03","Waikato Region","Total stated","Total stated","20","Maori","67647","100.0","100.0"
2018,"Regional Council","03","Waikato Region","Total stated","Total stated","Total","Total","356178","..","100.0"
2018,"Regional Council","04","Bay of Plenty Region","0","Not disabled","00","No 'Maori' response given","167175",".."," 92.8"
2018,"Regional Council","04","Bay of Plenty Region","0","Not disabled","20","Maori","49023"," 91.5"," 91.5"
2018,"Regional Council","04","Bay of Plenty Region","0","Not disabled","Total","Total","216198",".."," 92.5"
2018,"Regional Council","04","Bay of Plenty Region","1","Disabled","00","No 'Maori' response given","12966","..","  7.2"
2018,"Regional Council","04","Bay of Plenty Region","1","Disabled","20","Maori","4563","  8.5","  8.5"
2018,"Regional Council","04","Bay of Plenty Region","1","Disabled","Total","Total","17526","..","  7.5"
2018,"Regional Council","04","Bay of Plenty Region","7","Response unidentifiable","00","No 'Maori' response given","33","..",".."
2018,"Regional Council","04","Bay of Plenty Region","7","Response unidentifiable","20","Maori","21","..",".."
2018,"Regional Council","04","Bay of Plenty Region","7","Response unidentifiable","Total","Total","54","..",".."
2018,"Regional Council","04","Bay of Plenty Region","9","Not stated","00","No 'Maori' response given","27612","..",".."
2018,"Regional Council","04","Bay of Plenty Region","9","Not stated","20","Maori","27003","..",".."
2018,"Regional Council","04","Bay of Plenty Region","9","Not stated","Total","Total","54615","..",".."
2018,"Regional Council","04","Bay of Plenty Region","Total","Total","00","No 'Maori' response given","207783","..",".."
2018,"Regional Council","04","Bay of Plenty Region","Total","Total","20","Maori","80610","..",".."
2018,"Regional Council","04","Bay of Plenty Region","Total","Total","Total","Total","288393","..",".."
2018,"Regional Council","04","Bay of Plenty Region","Total stated","Total stated","00","No 'Maori' response given","180141","..","100.0"
2018,"Regional Council","04","Bay of Plenty Region","Total stated","Total stated","20","Maori","53586","100.0","100.0"
2018,"Regional Council","04","Bay of Plenty Region","Total stated","Total stated","Total","Total","233727","..","100.0"
2018,"Regional Council","05","Gisborne Region","0","Not disabled","00","No 'Maori' response given","16773",".."," 91.6"
2018,"Regional Council","05","Gisborne Region","0","Not disabled","20","Maori","14118"," 90.4"," 90.4"
2018,"Regional Council","05","Gisborne Region","0","Not disabled","Total","Total","30888",".."," 91.1"
2018,"Regional Council","05","Gisborne Region","1","Disabled","00","No 'Maori' response given","1530","..","  8.4"
2018,"Regional Council","05","Gisborne Region","1","Disabled","20","Maori","1494","  9.6","  9.6"
2018,"Regional Council","05","Gisborne Region","1","Disabled","Total","Total","3024","..","  8.9"
2018,"Regional Council","05","Gisborne Region","7","Response unidentifiable","00","No 'Maori' response given","6","..",".."
2018,"Regional Council","05","Gisborne Region","7","Response unidentifiable","20","Maori","9","..",".."
2018,"Regional Council","05","Gisborne Region","7","Response unidentifiable","Total","Total","15","..",".."
2018,"Regional Council","05","Gisborne Region","9","Not stated","00","No 'Maori' response given","2940","..",".."
2018,"Regional Council","05","Gisborne Region","9","Not stated","20","Maori","7074","..",".."
2018,"Regional Council","05","Gisborne Region","9","Not stated","Total","Total","10014","..",".."
2018,"Regional Council","05","Gisborne Region","Total","Total","00","No 'Maori' response given","21252","..",".."
2018,"Regional Council","05","Gisborne Region","Total","Total","20","Maori","22695","..",".."
2018,"Regional Council","05","Gisborne Region","Total","Total","Total","Total","43944","..",".."
2018,"Regional Council","05","Gisborne Region","Total stated","Total stated","00","No 'Maori' response given","18303","..","100.0"
2018,"Regional Council","05","Gisborne Region","Total stated","Total stated","20","Maori","15612","100.0","100.0"
2018,"Regional Council","05","Gisborne Region","Total stated","Total stated","Total","Total","33915","..","100.0"
2018,"Regional Council","06","Hawke's Bay Region","0","Not disabled","00","No 'Maori' response given","92223",".."," 92.2"
