"Year","Area_type","Area_code","Area_description","Tenure_of_household_code","Tenure_of_household_description","Households_in_occupied_private_dwellings","Tenure_of_household_percent"
2006,"Regional Council","01","Northland Region","001","Dwelling owned or partly owned","28359"," 56.7"
2006,"Regional Council","01","Northland Region","002","Dwelling not owned and not held in a family trust","15696"," 31.4"
2006,"Regional Council","01","Northland Region","003","Dwelling held in a family trust","5925"," 11.9"
2006,"Regional Council","01","Northland Region","999","Not elsewhere included","4470",".."
2006,"Regional Council","01","Northland Region","Total","Total","54453",".."
2006,"Regional Council","01","Northland Region","Total stated","Total stated","49986","100.0"
2006,"Regional Council","02","Auckland Region","001","Dwelling owned or partly owned","204711"," 50.7"
2006,"Regional Council","02","Auckland Region","002","Dwelling not owned and not held in a family trust","145953"," 36.2"
2006,"Regional Council","02","Auckland Region","003","Dwelling held in a family trust","52794"," 13.1"
2006,"Regional Council","02","Auckland Region","999","Not elsewhere included","30810",".."
2006,"Regional Council","02","Auckland Region","Total","Total","434265",".."
2006,"Regional Council","02","Auckland Region","Total stated","Total stated","403455","100.0"
2006,"Regional Council","03","Waikato Region","001","Dwelling owned or partly owned","68892"," 53.6"
2006,"Regional Council","03","Waikato Region","002","Dwelling not owned and not held in a family trust","44520"," 34.7"
2006,"Regional Council","03","Waikato Region","003","Dwelling held in a family trust","15069"," 11.7"
2006,"Regional Council","03","Waikato Region","999","Not elsewhere included","9234",".."
2006,"Regional Council","03","Waikato Region","Total","Total","137718",".."
2006,"Regional Council","03","Waikato Region","Total stated","Total stated","128481","100.0"
2006,"Regional Council","04","Bay of Plenty Region","001","Dwelling owned or partly owned","47031"," 53.1"
2006,"Regional Council","04","Bay of Plenty Region","002","Dwelling not owned and not held in a family trust","28977"," 32.7"
2006,"Regional Council","04","Bay of Plenty Region","003","Dwelling held in a family trust","12603"," 14.2"
2006,"Regional Council","04","Bay of Plenty Region","999","Not elsewhere included","6162",".."
2006,"Regional Council","04","Bay of Plenty Region","Total","Total","94773",".."
2006,"Regional Council","04","Bay of Plenty Region","Total stated","Total stated","88608","100.0"
2006,"Regional Council","05","Gisborne Region","001","Dwelling owned or partly owned","7542"," 52.4"
2006,"Regional Council","05","Gisborne Region","002","Dwelling not owned and not held in a family trust","5502"," 38.2"
2006,"Regional Council","05","Gisborne Region","003","Dwelling held in a family trust","1362","  9.5"
2006,"Regional Council","05","Gisborne Region","999","Not elsewhere included","1080",".."
2006,"Regional Council","05","Gisborne Region","Total","Total","15486",".."
2006,"Regional Council","05","Gisborne Region","Total stated","Total stated","14406","100.0"
2006,"Regional Council","06","Hawke's Bay Region","001","Dwelling owned or partly owned","27978"," 54.6"
2006,"Regional Council","06","Hawke's Bay Region","002","Dwelling not owned and not held in a family trust","16458"," 32.1"
2006,"Regional Council","06","Hawke's Bay Region","003","Dwelling held in a family trust","6807"," 13.3"
2006,"Regional Council","06","Hawke's Bay Region","999","Not elsewhere included","3375",".."
2006,"Regional Council","06","Hawke's Bay Region","Total","Total","54621",".."
2006,"Regional Council","06","Hawke's Bay Region","Total stated","Total stated","51243","100.0"
2006,"Regional Council","07","Taranaki Region","001","Dwelling owned or partly owned","21090"," 56.5"
2006,"Regional Council","07","Taranaki Region","002","Dwelling not owned and not held in a family trust","11259"," 30.1"
2006,"Regional Council","07","Taranaki Region","003","Dwelling held in a family trust","5007"," 13.4"
2006,"Regional Council","07","Taranaki Region","999","Not elsewhere included","2538",".."
2006,"Regional Council","07","Taranaki Region","Total","Total","39897",".."
2006,"Regional Council","07","Taranaki Region","Total stated","Total stated","37359","100.0"
2006,"Regional Council","08","Manawatu-Wanganui Region","001","Dwelling owned or partly owned","43716"," 55.2"
