"Year","Area_type","Area_code","Area_description","Weekly_rent_paid_by_household_code","Weekly_rent_paid_by_household_description","Households_in_rented_occupied_private_dwellings","Weekly_rent_paid_by_household_percent"
2018,"Regional Council","01","Northland Region","1","Under $100","1266","  7.4"
2018,"Regional Council","01","Northland Region","2","$100-149","1950"," 11.3"
2018,"Regional Council","01","Northland Region","3","$150-199","1566","  9.1"
2018,"Regional Council","01","Northland Region","4","$200-299","5220"," 30.3"
2018,"Regional Council","01","Northland Region","5","$300-399","4860"," 28.2"
2018,"Regional Council","01","Northland Region","6","$400-499","1764"," 10.2"
2018,"Regional Council","01","Northland Region","7","$500-599","420","  2.4"
2018,"Regional Council","01","Northland Region","8","$600 and over","183","  1.1"
2018,"Regional Council","01","Northland Region","9","Not elsewhere included","354",".."
2018,"Regional Council","01","Northland Region","Total","Total","17577",".."
2018,"Regional Council","01","Northland Region","Total stated","Total stated","17223","100.0"
2018,"Regional Council","02","Auckland Region","1","Under $100","10566","  5.7"
2018,"Regional Council","02","Auckland Region","2","$100-149","13011","  7.0"
2018,"Regional Council","02","Auckland Region","3","$150-199","5877","  3.2"
2018,"Regional Council","02","Auckland Region","4","$200-299","11091","  6.0"
2018,"Regional Council","02","Auckland Region","5","$300-399","26259"," 14.2"
2018,"Regional Council","02","Auckland Region","6","$400-499","44697"," 24.1"
2018,"Regional Council","02","Auckland Region","7","$500-599","36090"," 19.5"
2018,"Regional Council","02","Auckland Region","8","$600 and over","37623"," 20.3"
2018,"Regional Council","02","Auckland Region","9","Not elsewhere included","1374",".."
2018,"Regional Council","02","Auckland Region","Total","Total","186585",".."
2018,"Regional Council","02","Auckland Region","Total stated","Total stated","185211","100.0"
2018,"Regional Council","03","Waikato Region","1","Under $100","2868","  5.6"
2018,"Regional Council","03","Waikato Region","2","$100-149","4506","  8.8"
2018,"Regional Council","03","Waikato Region","3","$150-199","4428","  8.7"
2018,"Regional Council","03","Waikato Region","4","$200-299","13095"," 25.6"
2018,"Regional Council","03","Waikato Region","5","$300-399","15441"," 30.2"
2018,"Regional Council","03","Waikato Region","6","$400-499","7518"," 14.7"
2018,"Regional Council","03","Waikato Region","7","$500-599","2412","  4.7"
2018,"Regional Council","03","Waikato Region","8","$600 and over","906","  1.8"
2018,"Regional Council","03","Waikato Region","9","Not elsewhere included","711",".."
2018,"Regional Council","03","Waikato Region","Total","Total","51888",".."
2018,"Regional Council","03","Waikato Region","Total stated","Total stated","51177","100.0"
2018,"Regional Council","04","Bay of Plenty Region","1","Under $100","1650","  5.1"
2018,"Regional Council","04","Bay of Plenty Region","2","$100-149","2781","  8.7"
2018,"Regional Council","04","Bay of Plenty Region","3","$150-199","2415","  7.5"
