"Year","Area_type","Area_code","Area_description","Number_of_basic_amenities_code","Number_of_basic_amenities_description","Occupied_private_dwellings","Number_of_basic_amenities_percent"
2018,"Regional Council","01","Northland Region","0","No basic amenities available","171","  0.3"
2018,"Regional Council","01","Northland Region","1","One amenity","99","  0.2"
2018,"Regional Council","01","Northland Region","2","Two amenities","81","  0.1"
2018,"Regional Council","01","Northland Region","3","Three amenities","96","  0.2"
2018,"Regional Council","01","Northland Region","4","Four amenities","210","  0.4"
2018,"Regional Council","01","Northland Region","5","Five amenities","633","  1.1"
2018,"Regional Council","01","Northland Region","6","Six amenities","3483","  6.0"
2018,"Regional Council","01","Northland Region","7","Seven amenities","53304"," 91.8"
2018,"Regional Council","01","Northland Region","9","Not elsewhere included","6831",".."
2018,"Regional Council","01","Northland Region","Total","Total","64911",".."
2018,"Regional Council","01","Northland Region","Total stated","Total stated","58080","100.0"
2018,"Regional Council","02","Auckland Region","0","No basic amenities available","2802","  0.6"
2018,"Regional Council","02","Auckland Region","1","One amenity","1356","  0.3"
2018,"Regional Council","02","Auckland Region","2","Two amenities","570","  0.1"
2018,"Regional Council","02","Auckland Region","3","Three amenities","525","  0.1"
2018,"Regional Council","02","Auckland Region","4","Four amenities","1311","  0.3"
2018,"Regional Council","02","Auckland Region","5","Five amenities","4434","  1.0"
2018,"Regional Council","02","Auckland Region","6","Six amenities","26325","  5.8"
2018,"Regional Council","02","Auckland Region","7","Seven amenities","415455"," 91.8"
2018,"Regional Council","02","Auckland Region","9","Not elsewhere included","46005",".."
2018,"Regional Council","02","Auckland Region","Total","Total","498789",".."
2018,"Regional Council","02","Auckland Region","Total stated","Total stated","452784","100.0"
2018,"Regional Council","03","Waikato Region","0","No basic amenities available","498","  0.3"
2018,"Regional Council","03","Waikato Region","1","One amenity","216","  0.1"
2018,"Regional Council","03","Waikato Region","2","Two amenities","108","  0.1"
2018,"Regional Council","03","Waikato Region","3","Three amenities","141","  0.1"
2018,"Regional Council","03","Waikato Region","4","Four amenities","333","  0.2"
2018,"Regional Council","03","Waikato Region","5","Five amenities","1305","  0.9"
2018,"Regional Council","03","Waikato Region","6","Six amenities","8232","  5.5"
2018,"Regional Council","03","Waikato Region","7","Seven amenities","139731"," 92.8"
2018,"Regional Council","03","Waikato Region","9","Not elsewhere included","13632",".."
2018,"Regional Council","03","Waikato Region","Total","Total","164196",".."
2018,"Regional Council","03","Waikato Region","Total stated","Total stated","150564","100.0"
2018,"Regional Council","04","Bay of Plenty Region","0","No basic amenities available","309","  0.3"
2018,"Regional Council","04","Bay of Plenty Region","1","One amenity","123","  0.1"
2018,"Regional Council","04","Bay of Plenty Region","2","Two amenities","63","  0.1"
2018,"Regional Council","04","Bay of Plenty Region","3","Three amenities","108","  0.1"
2018,"Regional Council","04","Bay of Plenty Region","4","Four amenities","216","  0.2"
2018,"Regional Council","04","Bay of Plenty Region","5","Five amenities","684","  0.7"
2018,"Regional Council","04","Bay of Plenty Region","6","Six amenities","4335","  4.3"
2018,"Regional Council","04","Bay of Plenty Region","7","Seven amenities","94794"," 94.2"
2018,"Regional Council","04","Bay of Plenty Region","9","Not elsewhere included","11058",".."
2018,"Regional Council","04","Bay of Plenty Region","Total","Total","111684",".."
2018,"Regional Council","04","Bay of Plenty Region","Total stated","Total stated","100626","100.0"
2018,"Regional Council","05","Gisborne Region","0","No basic amenities available","45","  0.3"
2018,"Regional Council","05","Gisborne Region","1","One amenity","27","  0.2"
2018,"Regional Council","05","Gisborne Region","2","Two amenities","18","  0.1"
2018,"Regional Council","05","Gisborne Region","3","Three amenities","27","  0.2"
2018,"Regional Council","05","Gisborne Region","4","Four amenities","42","  0.3"
2018,"Regional Council","05","Gisborne Region","5","Five amenities","156","  1.1"
2018,"Regional Council","05","Gisborne Region","6","Six amenities","876","  6.0"
2018,"Regional Council","05","Gisborne Region","7","Seven amenities","13401"," 91.9"
2018,"Regional Council","05","Gisborne Region","9","Not elsewhere included","1920",".."
2018,"Regional Council","05","Gisborne Region","Total","Total","16509",".."
2018,"Regional Council","05","Gisborne Region","Total stated","Total stated","14589","100.0"
2018,"Regional Council","06","Hawke's Bay Region","0","No basic amenities available","186","  0.3"
2018,"Regional Council","06","Hawke's Bay Region","1","One amenity","90","  0.2"
2018,"Regional Council","06","Hawke's Bay Region","2","Two amenities","48","  0.1"
2018,"Regional Council","06","Hawke's Bay Region","3","Three amenities","42","  0.1"
2018,"Regional Council","06","Hawke's Bay Region","4","Four amenities","123","  0.2"
2018,"Regional Council","06","Hawke's Bay Region","5","Five amenities","519","  0.9"
2018,"Regional Council","06","Hawke's Bay Region","6","Six amenities","4344","  7.9"
2018,"Regional Council","06","Hawke's Bay Region","7","Seven amenities","49773"," 90.3"
2018,"Regional Council","06","Hawke's Bay Region","9","Not elsewhere included","5406",".."
2018,"Regional Council","06","Hawke's Bay Region","Total","Total","60531",".."
2018,"Regional Council","06","Hawke's Bay Region","Total stated","Total stated","55125","100.0"
2018,"Regional Council","07","Taranaki Region","0","No basic amenities available","108","  0.3"
2018,"Regional Council","07","Taranaki Region","1","One amenity","51","  0.1"
2018,"Regional Council","07","Taranaki Region","2","Two amenities","18","  0.0"
2018,"Regional Council","07","Taranaki Region","3","Three amenities","18","  0.0"
2018,"Regional Council","07","Taranaki Region","4","Four amenities","60","  0.1"
2018,"Regional Council","07","Taranaki Region","5","Five amenities","300","  0.7"
2018,"Regional Council","07","Taranaki Region","6","Six amenities","1971","  4.7"
2018,"Regional Council","07","Taranaki Region","7","Seven amenities","39777"," 94.0"
2018,"Regional Council","07","Taranaki Region","9","Not elsewhere included","3138",".."
2018,"Regional Council","07","Taranaki Region","Total","Total","45444",".."
2018,"Regional Council","07","Taranaki Region","Total stated","Total stated","42306","100.0"
2018,"Regional Council","08","Manawatu-Wanganui Region","0","No basic amenities available","222","  0.3"
2018,"Regional Council","08","Manawatu-Wanganui Region","1","One amenity","120","  0.1"
2018,"Regional Council","08","Manawatu-Wanganui Region","2","Two amenities","48","  0.1"
2018,"Regional Council","08","Manawatu-Wanganui Region","3","Three amenities","60","  0.1"
2018,"Regional Council","08","Manawatu-Wanganui Region","4","Four amenities","174","  0.2"
2018,"Regional Council","08","Manawatu-Wanganui Region","5","Five amenities","669","  0.8"
2018,"Regional Council","08","Manawatu-Wanganui Region","6","Six amenities","5211","  6.2"
2018,"Regional Council","08","Manawatu-Wanganui Region","7","Seven amenities","77055"," 92.2"
2018,"Regional Council","08","Manawatu-Wanganui Region","9","Not elsewhere included","7254",".."
2018,"Regional Council","08","Manawatu-Wanganui Region","Total","Total","90810",".."
2018,"Regional Council","08","Manawatu-Wanganui Region","Total stated","Total stated","83559","100.0"
2018,"Regional Council","09","Wellington Region","0","No basic amenities available","444","  0.3"
2018,"Regional Council","09","Wellington Region","1","One amenity","231","  0.1"
2018,"Regional Council","09","Wellington Region","2","Two amenities","108","  0.1"
2018,"Regional Council","09","Wellington Region","3","Three amenities","111","  0.1"
2018,"Regional Council","09","Wellington Region","4","Four amenities","279","  0.2"
2018,"Regional Council","09","Wellington Region","5","Five amenities","1047","  0.6"
2018,"Regional Council","09","Wellington Region","6","Six amenities","7113","  4.1"
2018,"Regional Council","09","Wellington Region","7","Seven amenities","165000"," 94.6"
2018,"Regional Council","09","Wellington Region","9","Not elsewhere included","11898",".."
2018,"Regional Council","09","Wellington Region","Total","Total","186225",".."
2018,"Regional Council","09","Wellington Region","Total stated","Total stated","174327","100.0"
2018,"Regional Council","12","West Coast Region","0","No basic amenities available","33","  0.3"
2018,"Regional Council","12","West Coast Region","1","One amenity","33","  0.3"
2018,"Regional Council","12","West Coast Region","2","Two amenities","15","  0.1"
2018,"Regional Council","12","West Coast Region","3","Three amenities","21","  0.2"
2018,"Regional Council","12","West Coast Region","4","Four amenities","66","  0.5"
2018,"Regional Council","12","West Coast Region","5","Five amenities","138","  1.1"
2018,"Regional Council","12","West Coast Region","6","Six amenities","1038","  8.4"
2018,"Regional Council","12","West Coast Region","7","Seven amenities","10947"," 89.1"
2018,"Regional Council","12","West Coast Region","9","Not elsewhere included","1410",".."
2018,"Regional Council","12","West Coast Region","Total","Total","13695",".."
2018,"Regional Council","12","West Coast Region","Total stated","Total stated","12288","100.0"
2018,"Regional Council","13","Canterbury Region","0","No basic amenities available","717","  0.3"
2018,"Regional Council","13","Canterbury Region","1","One amenity","366","  0.2"
2018,"Regional Council","13","Canterbury Region","2","Two amenities","126","  0.1"
2018,"Regional Council","13","Canterbury Region","3","Three amenities","156","  0.1"
2018,"Regional Council","13","Canterbury Region","4","Four amenities","327","  0.2"
2018,"Regional Council","13","Canterbury Region","5","Five amenities","1293","  0.6"
2018,"Regional Council","13","Canterbury Region","6","Six amenities","9438","  4.4"
2018,"Regional Council","13","Canterbury Region","7","Seven amenities","200040"," 94.2"
2018,"Regional Council","13","Canterbury Region","9","Not elsewhere included","14346",".."
2018,"Regional Council","13","Canterbury Region","Total","Total","226806",".."
2018,"Regional Council","13","Canterbury Region","Total stated","Total stated","212460","100.0"
2018,"Regional Council","14","Otago Region","0","No basic amenities available","207","  0.3"
2018,"Regional Council","14","Otago Region","1","One amenity","126","  0.2"
2018,"Regional Council","14","Otago Region","2","Two amenities","60","  0.1"
2018,"Regional Council","14","Otago Region","3","Three amenities","66","  0.1"
2018,"Regional Council","14","Otago Region","4","Four amenities","123","  0.2"
2018,"Regional Council","14","Otago Region","5","Five amenities","501","  0.6"
2018,"Regional Council","14","Otago Region","6","Six amenities","3498","  4.3"
2018,"Regional Council","14","Otago Region","7","Seven amenities","76803"," 94.4"
2018,"Regional Council","14","Otago Region","9","Not elsewhere included","5454",".."
2018,"Regional Council","14","Otago Region","Total","Total","86838",".."
2018,"Regional Council","14","Otago Region","Total stated","Total stated","81381","100.0"
2018,"Regional Council","15","Southland Region","0","No basic amenities available","108","  0.3"
2018,"Regional Council","15","Southland Region","1","One amenity","63","  0.2"
2018,"Regional Council","15","Southland Region","2","Two amenities","30","  0.1"
2018,"Regional Council","15","Southland Region","3","Three amenities","27","  0.1"
2018,"Regional Council","15","Southland Region","4","Four amenities","69","  0.2"
2018,"Regional Council","15","Southland Region","5","Five amenities","279","  0.8"
2018,"Regional Council","15","Southland Region","6","Six amenities","1896","  5.2"
2018,"Regional Council","15","Southland Region","7","Seven amenities","34128"," 93.3"
2018,"Regional Council","15","Southland Region","9","Not elsewhere included","2334",".."
2018,"Regional Council","15","Southland Region","Total","Total","38931",".."
2018,"Regional Council","15","Southland Region","Total stated","Total stated","36597","100.0"
2018,"Regional Council","16","Tasman Region","0","No basic amenities available","39","  0.2"
2018,"Regional Council","16","Tasman Region","1","One amenity","18","  0.1"
2018,"Regional Council","16","Tasman Region","2","Two amenities","9","  0.0"
2018,"Regional Council","16","Tasman Region","3","Three amenities","15","  0.1"
2018,"Regional Council","16","Tasman Region","4","Four amenities","33","  0.2"
2018,"Regional Council","16","Tasman Region","5","Five amenities","135","  0.7"
2018,"Regional Council","16","Tasman Region","6","Six amenities","849","  4.6"
2018,"Regional Council","16","Tasman Region","7","Seven amenities","17511"," 94.1"
2018,"Regional Council","16","Tasman Region","9","Not elsewhere included","1155",".."
2018,"Regional Council","16","Tasman Region","Total","Total","19770",".."
2018,"Regional Council","16","Tasman Region","Total stated","Total stated","18612","100.0"
2018,"Regional Council","17","Nelson Region","0","No basic amenities available","48","  0.3"
2018,"Regional Council","17","Nelson Region","1","One amenity","18","  0.1"
2018,"Regional Council","17","Nelson Region","2","Two amenities","9","  0.0"
2018,"Regional Council","17","Nelson Region","3","Three amenities","9","  0.0"
2018,"Regional Council","17","Nelson Region","4","Four amenities","45","  0.2"
2018,"Regional Council","17","Nelson Region","5","Five amenities","123","  0.7"
2018,"Regional Council","17","Nelson Region","6","Six amenities","780","  4.2"
2018,"Regional Council","17","Nelson Region","7","Seven amenities","17745"," 94.5"
2018,"Regional Council","17","Nelson Region","9","Not elsewhere included","1203",".."
2018,"Regional Council","17","Nelson Region","Total","Total","19980",".."
2018,"Regional Council","17","Nelson Region","Total stated","Total stated","18777","100.0"
2018,"Regional Council","18","Marlborough Region","0","No basic amenities available","48","  0.3"
2018,"Regional Council","18","Marlborough Region","1","One amenity","21","  0.1"
2018,"Regional Council","18","Marlborough Region","2","Two amenities","12","  0.1"
2018,"Regional Council","18","Marlborough Region","3","Three amenities","18","  0.1"
2018,"Regional Council","18","Marlborough Region","4","Four amenities","21","  0.1"
2018,"Regional Council","18","Marlborough Region","5","Five amenities","99","  0.6"
2018,"Regional Council","18","Marlborough Region","6","Six amenities","969","  5.5"
2018,"Regional Council","18","Marlborough Region","7","Seven amenities","16398"," 93.2"
2018,"Regional Council","18","Marlborough Region","9","Not elsewhere included","1323",".."
2018,"Regional Council","18","Marlborough Region","Total","Total","18912",".."
2018,"Regional Council","18","Marlborough Region","Total stated","Total stated","17589","100.0"
2018,"Regional Council","99","Area Outside Region","0","No basic amenities available","3","  1.2"
2018,"Regional Council","99","Area Outside Region","1","One amenity","3","  1.2"
2018,"Regional Council","99","Area Outside Region","2","Two amenities","3","  1.2"
2018,"Regional Council","99","Area Outside Region","3","Three amenities","6","  2.5"
2018,"Regional Council","99","Area Outside Region","4","Four amenities","0","  0.0"
2018,"Regional Council","99","Area Outside Region","5","Five amenities","9","  3.7"
2018,"Regional Council","99","Area Outside Region","6","Six amenities","24","  9.9"
2018,"Regional Council","99","Area Outside Region","7","Seven amenities","198"," 81.5"
2018,"Regional Council","99","Area Outside Region","9","Not elsewhere included","45",".."
2018,"Regional Council","99","Area Outside Region","Total","Total","285",".."
2018,"Regional Council","99","Area Outside Region","Total stated","Total stated","243","100.0"
2018,"Regional Council","Total","Total","0","No basic amenities available","5979","  0.4"
2018,"Regional Council","Total","Total","1","One amenity","2952","  0.2"
2018,"Regional Council","Total","Total","2","Two amenities","1329","  0.1"
2018,"Regional Council","Total","Total","3","Three amenities","1443","  0.1"
2018,"Regional Council","Total","Total","4","Four amenities","3426","  0.2"
2018,"Regional Council","Total","Total","5","Five amenities","12327","  0.8"
2018,"Regional Council","Total","Total","6","Six amenities","80385","  5.3"
2018,"Regional Council","Total","Total","7","Seven amenities","1422060"," 93.0"
2018,"Regional Council","Total","Total","9","Not elsewhere included","134412",".."
2018,"Regional Council","Total","Total","Total","Total","1664313",".."
2018,"Regional Council","Total","Total","Total stated","Total stated","1529901","100.0"
2018,"Statistical Area 2","100100","North Cape","0","No basic amenities available","0","  0.0"
2018,"Statistical Area 2","100100","North Cape","1","One amenity","3","  0.6"
2018,"Statistical Area 2","100100","North Cape","2","Two amenities","3","  0.6"
2018,"Statistical Area 2","100100","North Cape","3","Three amenities","3","  0.6"
2018,"Statistical Area 2","100100","North Cape","4","Four amenities","6","  1.2"
2018,"Statistical Area 2","100100","North Cape","5","Five amenities","9","  1.8"
2018,"Statistical Area 2","100100","North Cape","6","Six amenities","54"," 10.7"
2018,"Statistical Area 2","100100","North Cape","7","Seven amenities","432"," 85.2"
2018,"Statistical Area 2","100100","North Cape","9","Not elsewhere included","129",".."
2018,"Statistical Area 2","100100","North Cape","Total","Total","633",".."
2018,"Statistical Area 2","100100","North Cape","Total stated","Total stated","507","100.0"
2018,"Statistical Area 2","100200","Rangaunu Harbour","0","No basic amenities available","0","  0.0"
2018,"Statistical Area 2","100200","Rangaunu Harbour","1","One amenity","0","  0.0"
2018,"Statistical Area 2","100200","Rangaunu Harbour","2","Two amenities","0","  0.0"
2018,"Statistical Area 2","100200","Rangaunu Harbour","3","Three amenities","3","  0.4"
2018,"Statistical Area 2","100200","Rangaunu Harbour","4","Four amenities","3","  0.4"
2018,"Statistical Area 2","100200","Rangaunu Harbour","5","Five amenities","12","  1.8"
2018,"Statistical Area 2","100200","Rangaunu Harbour","6","Six amenities","54","  8.1"
2018,"Statistical Area 2","100200","Rangaunu Harbour","7","Seven amenities","597"," 89.2"
2018,"Statistical Area 2","100200","Rangaunu Harbour","9","Not elsewhere included","108",".."
2018,"Statistical Area 2","100200","Rangaunu Harbour","Total","Total","777",".."
2018,"Statistical Area 2","100200","Rangaunu Harbour","Total stated","Total stated","669","100.0"
2018,"Statistical Area 2","100300","Inlets Far North District","0","No basic amenities available","0","  0.0"
2018,"Statistical Area 2","100300","Inlets Far North District","1","One amenity","0","  0.0"
2018,"Statistical Area 2","100300","Inlets Far North District","2","Two amenities","0","  0.0"
2018,"Statistical Area 2","100300","Inlets Far North District","3","Three amenities","0","  0.0"
2018,"Statistical Area 2","100300","Inlets Far North District","4","Four amenities","0","  0.0"
2018,"Statistical Area 2","100300","Inlets Far North District","5","Five amenities","6"," 13.3"
2018,"Statistical Area 2","100300","Inlets Far North District","6","Six amenities","12"," 26.7"
2018,"Statistical Area 2","100300","Inlets Far North District","7","Seven amenities","24"," 53.3"
2018,"Statistical Area 2","100300","Inlets Far North District","9","Not elsewhere included","30",".."
2018,"Statistical Area 2","100300","Inlets Far North District","Total","Total","75",".."
2018,"Statistical Area 2","100300","Inlets Far North District","Total stated","Total stated","45","100.0"
2018,"Statistical Area 2","100400","Karikari Peninsula","0","No basic amenities available","3","  0.8"
2018,"Statistical Area 2","100400","Karikari Peninsula","1","One amenity","0","  0.0"
2018,"Statistical Area 2","100400","Karikari Peninsula","2","Two amenities","0","  0.0"
2018,"Statistical Area 2","100400","Karikari Peninsula","3","Three amenities","0","  0.0"
2018,"Statistical Area 2","100400","Karikari Peninsula","4","Four amenities","3","  0.8"
2018,"Statistical Area 2","100400","Karikari Peninsula","5","Five amenities","3","  0.8"
2018,"Statistical Area 2","100400","Karikari Peninsula","6","Six amenities","18","  4.7"
2018,"Statistical Area 2","100400","Karikari Peninsula","7","Seven amenities","360"," 93.8"
