"Year","Area_type","Area_code","Area_description","Dwelling_dampness_indicator_code","Dwelling_dampness_indicator_description","Occupied_private_dwellings","Dwelling_dampness_indicator_percent"
2018,"Regional Council","01","Northland Region","01","Always damp","2565","  4.5"
2018,"Regional Council","01","Northland Region","02","Sometimes damp","13056"," 23.1"
2018,"Regional Council","01","Northland Region","03","Not damp","40965"," 72.4"
2018,"Regional Council","01","Northland Region","99","Not elsewhere included","8322",".."
2018,"Regional Council","01","Northland Region","Total","Total","64911",".."
2018,"Regional Council","01","Northland Region","Total stated","Total stated","56589","100.0"
2018,"Regional Council","02","Auckland Region","01","Always damp","17322","  4.0"
2018,"Regional Council","02","Auckland Region","02","Sometimes damp","90552"," 20.9"
2018,"Regional Council","02","Auckland Region","03","Not damp","326286"," 75.2"
2018,"Regional Council","02","Auckland Region","99","Not elsewhere included","64632",".."
2018,"Regional Council","02","Auckland Region","Total","Total","498789",".."
2018,"Regional Council","02","Auckland Region","Total stated","Total stated","434157","100.0"
2018,"Regional Council","03","Waikato Region","01","Always damp","4557","  3.1"
2018,"Regional Council","03","Waikato Region","02","Sometimes damp","28629"," 19.6"
2018,"Regional Council","03","Waikato Region","03","Not damp","112812"," 77.3"
2018,"Regional Council","03","Waikato Region","99","Not elsewhere included","18201",".."
2018,"Regional Council","03","Waikato Region","Total","Total","164196",".."
2018,"Regional Council","03","Waikato Region","Total stated","Total stated","145998","100.0"
2018,"Regional Council","04","Bay of Plenty Region","01","Always damp","2898","  3.0"
2018,"Regional Council","04","Bay of Plenty Region","02","Sometimes damp","17172"," 17.5"
2018,"Regional Council","04","Bay of Plenty Region","03","Not damp","77964"," 79.5"
2018,"Regional Council","04","Bay of Plenty Region","99","Not elsewhere included","13647",".."
2018,"Regional Council","04","Bay of Plenty Region","Total","Total","111684",".."
2018,"Regional Council","04","Bay of Plenty Region","Total stated","Total stated","98037","100.0"
2018,"Regional Council","05","Gisborne Region","01","Always damp","579","  4.1"
2018,"Regional Council","05","Gisborne Region","02","Sometimes damp","3153"," 22.3"
2018,"Regional Council","05","Gisborne Region","03","Not damp","10413"," 73.6"
2018,"Regional Council","05","Gisborne Region","99","Not elsewhere included","2364",".."
2018,"Regional Council","05","Gisborne Region","Total","Total","16509",".."
2018,"Regional Council","05","Gisborne Region","Total stated","Total stated","14145","100.0"
2018,"Regional Council","06","Hawke's Bay Region","01","Always damp","1341","  2.5"
2018,"Regional Council","06","Hawke's Bay Region","02","Sometimes damp","8502"," 15.8"
2018,"Regional Council","06","Hawke's Bay Region","03","Not damp","43860"," 81.7"
2018,"Regional Council","06","Hawke's Bay Region","99","Not elsewhere included","6828",".."
2018,"Regional Council","06","Hawke's Bay Region","Total","Total","60531",".."
2018,"Regional Council","06","Hawke's Bay Region","Total stated","Total stated","53703","100.0"
2018,"Regional Council","07","Taranaki Region","01","Always damp","1119","  2.7"
2018,"Regional Council","07","Taranaki Region","02","Sometimes damp","7743"," 18.8"
2018,"Regional Council","07","Taranaki Region","03","Not damp","32349"," 78.5"
2018,"Regional Council","07","Taranaki Region","99","Not elsewhere included","4233",".."
2018,"Regional Council","07","Taranaki Region","Total","Total","45444",".."
2018,"Regional Council","07","Taranaki Region","Total stated","Total stated","41208","100.0"
2018,"Regional Council","08","Manawatu-Wanganui Region","01","Always damp","2232","  2.8"
2018,"Regional Council","08","Manawatu-Wanganui Region","02","Sometimes damp","15333"," 19.0"
2018,"Regional Council","08","Manawatu-Wanganui Region","03","Not damp","63315"," 78.3"
2018,"Regional Council","08","Manawatu-Wanganui Region","99","Not elsewhere included","9930",".."
2018,"Regional Council","08","Manawatu-Wanganui Region","Total","Total","90810",".."
2018,"Regional Council","08","Manawatu-Wanganui Region","Total stated","Total stated","80883","100.0"
2018,"Regional Council","09","Wellington Region","01","Always damp","4872","  2.9"
2018,"Regional Council","09","Wellington Region","02","Sometimes damp","31962"," 18.9"
2018,"Regional Council","09","Wellington Region","03","Not damp","132426"," 78.2"
2018,"Regional Council","09","Wellington Region","99","Not elsewhere included","16962",".."
2018,"Regional Council","09","Wellington Region","Total","Total","186225",".."
2018,"Regional Council","09","Wellington Region","Total stated","Total stated","169263","100.0"
2018,"Regional Council","12","West Coast Region","01","Always damp","363","  3.0"
2018,"Regional Council","12","West Coast Region","02","Sometimes damp","2421"," 20.1"
2018,"Regional Council","12","West Coast Region","03","Not damp","9240"," 76.9"
2018,"Regional Council","12","West Coast Region","99","Not elsewhere included","1674",".."
2018,"Regional Council","12","West Coast Region","Total","Total","13695",".."
2018,"Regional Council","12","West Coast Region","Total stated","Total stated","12021","100.0"
2018,"Regional Council","13","Canterbury Region","01","Always damp","3717","  1.8"
2018,"Regional Council","13","Canterbury Region","02","Sometimes damp","30036"," 14.5"
2018,"Regional Council","13","Canterbury Region","03","Not damp","172773"," 83.7"
2018,"Regional Council","13","Canterbury Region","99","Not elsewhere included","20283",".."
2018,"Regional Council","13","Canterbury Region","Total","Total","226806",".."
2018,"Regional Council","13","Canterbury Region","Total stated","Total stated","206526","100.0"
2018,"Regional Council","14","Otago Region","01","Always damp","1503","  1.9"
2018,"Regional Council","14","Otago Region","02","Sometimes damp","12879"," 16.3"
2018,"Regional Council","14","Otago Region","03","Not damp","64836"," 81.8"
2018,"Regional Council","14","Otago Region","99","Not elsewhere included","7620",".."
2018,"Regional Council","14","Otago Region","Total","Total","86838",".."
2018,"Regional Council","14","Otago Region","Total stated","Total stated","79215","100.0"
2018,"Regional Council","15","Southland Region","01","Always damp","705","  2.0"
2018,"Regional Council","15","Southland Region","02","Sometimes damp","5802"," 16.3"
2018,"Regional Council","15","Southland Region","03","Not damp","29118"," 81.7"
2018,"Regional Council","15","Southland Region","99","Not elsewhere included","3303",".."
2018,"Regional Council","15","Southland Region","Total","Total","38931",".."
2018,"Regional Council","15","Southland Region","Total stated","Total stated","35625","100.0"
2018,"Regional Council","16","Tasman Region","01","Always damp","234","  1.3"
2018,"Regional Council","16","Tasman Region","02","Sometimes damp","2295"," 12.6"
2018,"Regional Council","16","Tasman Region","03","Not damp","15735"," 86.2"
2018,"Regional Council","16","Tasman Region","99","Not elsewhere included","1509",".."
2018,"Regional Council","16","Tasman Region","Total","Total","19770",".."
2018,"Regional Council","16","Tasman Region","Total stated","Total stated","18261","100.0"
2018,"Regional Council","17","Nelson Region","01","Always damp","285","  1.6"
2018,"Regional Council","17","Nelson Region","02","Sometimes damp","2814"," 15.4"
2018,"Regional Council","17","Nelson Region","03","Not damp","15171"," 83.0"
2018,"Regional Council","17","Nelson Region","99","Not elsewhere included","1710",".."
2018,"Regional Council","17","Nelson Region","Total","Total","19980",".."
2018,"Regional Council","17","Nelson Region","Total stated","Total stated","18273","100.0"
2018,"Regional Council","18","Marlborough Region","01","Always damp","207","  1.2"
2018,"Regional Council","18","Marlborough Region","02","Sometimes damp","1929"," 11.2"
2018,"Regional Council","18","Marlborough Region","03","Not damp","15105"," 87.6"
2018,"Regional Council","18","Marlborough Region","99","Not elsewhere included","1674",".."
2018,"Regional Council","18","Marlborough Region","Total","Total","18912",".."
2018,"Regional Council","18","Marlborough Region","Total stated","Total stated","17238","100.0"
2018,"Regional Council","99","Area Outside Region","01","Always damp","27"," 11.5"
2018,"Regional Council","99","Area Outside Region","02","Sometimes damp","93"," 39.7"
2018,"Regional Council","99","Area Outside Region","03","Not damp","114"," 48.7"
2018,"Regional Council","99","Area Outside Region","99","Not elsewhere included","51",".."
2018,"Regional Council","99","Area Outside Region","Total","Total","285",".."
2018,"Regional Council","99","Area Outside Region","Total stated","Total stated","234","100.0"
2018,"Regional Council","Total","Total","01","Always damp","44520","  3.0"
2018,"Regional Council","Total","Total","02","Sometimes damp","274371"," 18.5"
2018,"Regional Council","Total","Total","03","Not damp","1162485"," 78.5"
2018,"Regional Council","Total","Total","99","Not elsewhere included","182937",".."
2018,"Regional Council","Total","Total","Total","Total","1664313",".."
2018,"Regional Council","Total","Total","Total stated","Total stated","1481376","100.0"
2018,"Statistical Area 2","100100","North Cape","01","Always damp","30","  6.1"
2018,"Statistical Area 2","100100","North Cape","02","Sometimes damp","126"," 25.8"
2018,"Statistical Area 2","100100","North Cape","03","Not damp","333"," 68.1"
2018,"Statistical Area 2","100100","North Cape","99","Not elsewhere included","147",".."
2018,"Statistical Area 2","100100","North Cape","Total","Total","633",".."
2018,"Statistical Area 2","100100","North Cape","Total stated","Total stated","489","100.0"
2018,"Statistical Area 2","100200","Rangaunu Harbour","01","Always damp","30","  4.7"
2018,"Statistical Area 2","100200","Rangaunu Harbour","02","Sometimes damp","192"," 30.2"
2018,"Statistical Area 2","100200","Rangaunu Harbour","03","Not damp","417"," 65.6"
2018,"Statistical Area 2","100200","Rangaunu Harbour","99","Not elsewhere included","141",".."
2018,"Statistical Area 2","100200","Rangaunu Harbour","Total","Total","777",".."
2018,"Statistical Area 2","100200","Rangaunu Harbour","Total stated","Total stated","636","100.0"
2018,"Statistical Area 2","100300","Inlets Far North District","01","Always damp","6"," 14.3"
2018,"Statistical Area 2","100300","Inlets Far North District","02","Sometimes damp","18"," 42.9"
2018,"Statistical Area 2","100300","Inlets Far North District","03","Not damp","18"," 42.9"
2018,"Statistical Area 2","100300","Inlets Far North District","99","Not elsewhere included","33",".."
2018,"Statistical Area 2","100300","Inlets Far North District","Total","Total","75",".."
2018,"Statistical Area 2","100300","Inlets Far North District","Total stated","Total stated","42","100.0"
2018,"Statistical Area 2","100400","Karikari Peninsula","01","Always damp","15","  4.0"
2018,"Statistical Area 2","100400","Karikari Peninsula","02","Sometimes damp","72"," 19.0"
2018,"Statistical Area 2","100400","Karikari Peninsula","03","Not damp","291"," 77.0"
2018,"Statistical Area 2","100400","Karikari Peninsula","99","Not elsewhere included","105",".."
2018,"Statistical Area 2","100400","Karikari Peninsula","Total","Total","483",".."
2018,"Statistical Area 2","100400","Karikari Peninsula","Total stated","Total stated","378","100.0"
2018,"Statistical Area 2","100500","Tangonge","01","Always damp","15","  4.6"
2018,"Statistical Area 2","100500","Tangonge","02","Sometimes damp","75"," 23.1"
2018,"Statistical Area 2","100500","Tangonge","03","Not damp","234"," 72.2"
2018,"Statistical Area 2","100500","Tangonge","99","Not elsewhere included","66",".."
2018,"Statistical Area 2","100500","Tangonge","Total","Total","393",".."
2018,"Statistical Area 2","100500","Tangonge","Total stated","Total stated","324","100.0"
2018,"Statistical Area 2","100600","Ahipara","01","Always damp","12","  3.5"
2018,"Statistical Area 2","100600","Ahipara","02","Sometimes damp","75"," 22.1"
2018,"Statistical Area 2","100600","Ahipara","03","Not damp","252"," 74.3"
2018,"Statistical Area 2","100600","Ahipara","99","Not elsewhere included","60",".."
2018,"Statistical Area 2","100600","Ahipara","Total","Total","396",".."
2018,"Statistical Area 2","100600","Ahipara","Total stated","Total stated","339","100.0"
2018,"Statistical Area 2","100700","Kaitaia East","01","Always damp","42","  6.6"
2018,"Statistical Area 2","100700","Kaitaia East","02","Sometimes damp","192"," 30.3"
2018,"Statistical Area 2","100700","Kaitaia East","03","Not damp","402"," 63.5"
2018,"Statistical Area 2","100700","Kaitaia East","99","Not elsewhere included","135",".."
2018,"Statistical Area 2","100700","Kaitaia East","Total","Total","768",".."
2018,"Statistical Area 2","100700","Kaitaia East","Total stated","Total stated","633","100.0"
2018,"Statistical Area 2","100800","Kaitaia West","01","Always damp","63","  6.6"
2018,"Statistical Area 2","100800","Kaitaia West","02","Sometimes damp","303"," 31.7"
2018,"Statistical Area 2","100800","Kaitaia West","03","Not damp","591"," 61.8"
2018,"Statistical Area 2","100800","Kaitaia West","99","Not elsewhere included","162",".."
2018,"Statistical Area 2","100800","Kaitaia West","Total","Total","1119",".."
2018,"Statistical Area 2","100800","Kaitaia West","Total stated","Total stated","957","100.0"
2018,"Statistical Area 2","100900","Rangitihi","01","Always damp","15","  5.4"
2018,"Statistical Area 2","100900","Rangitihi","02","Sometimes damp","63"," 22.8"
2018,"Statistical Area 2","100900","Rangitihi","03","Not damp","198"," 71.7"
2018,"Statistical Area 2","100900","Rangitihi","99","Not elsewhere included","54",".."
2018,"Statistical Area 2","100900","Rangitihi","Total","Total","333",".."
2018,"Statistical Area 2","100900","Rangitihi","Total stated","Total stated","276","100.0"
2018,"Statistical Area 2","101000","Oruru-Parapara","01","Always damp","9","  3.8"
2018,"Statistical Area 2","101000","Oruru-Parapara","02","Sometimes damp","63"," 26.2"
2018,"Statistical Area 2","101000","Oruru-Parapara","03","Not damp","168"," 70.0"
2018,"Statistical Area 2","101000","Oruru-Parapara","99","Not elsewhere included","51",".."
2018,"Statistical Area 2","101000","Oruru-Parapara","Total","Total","288",".."
2018,"Statistical Area 2","101000","Oruru-Parapara","Total stated","Total stated","240","100.0"
