"Year","Area_type","Area_code","Area_description","Dwelling_mould_indicator_code","Dwelling_mould_indicator_description","Occupied_private_dwellings","Dwelling_mould_indicator_percent"
2018,"Regional Council","01","Northland Region","01","Mould over A4 size - always","3540","  6.2"
2018,"Regional Council","01","Northland Region","02","Mould over A4 size - sometimes","9183"," 16.2"
2018,"Regional Council","01","Northland Region","03","No mould/mould smaller than A4 size","44091"," 77.6"
2018,"Regional Council","01","Northland Region","99","Not elsewhere included","8097",".."
2018,"Regional Council","01","Northland Region","Total","Total","64911",".."
2018,"Regional Council","01","Northland Region","Total stated","Total stated","56814","100.0"
2018,"Regional Council","02","Auckland Region","01","Mould over A4 size - always","24765","  5.6"
2018,"Regional Council","02","Auckland Region","02","Mould over A4 size - sometimes","68502"," 15.6"
2018,"Regional Council","02","Auckland Region","03","No mould/mould smaller than A4 size","345828"," 78.8"
2018,"Regional Council","02","Auckland Region","99","Not elsewhere included","59694",".."
2018,"Regional Council","02","Auckland Region","Total","Total","498789",".."
2018,"Regional Council","02","Auckland Region","Total stated","Total stated","439095","100.0"
2018,"Regional Council","03","Waikato Region","01","Mould over A4 size - always","6807","  4.6"
2018,"Regional Council","03","Waikato Region","02","Mould over A4 size - sometimes","19881"," 13.5"
2018,"Regional Council","03","Waikato Region","03","No mould/mould smaller than A4 size","120447"," 81.9"
2018,"Regional Council","03","Waikato Region","99","Not elsewhere included","17058",".."
2018,"Regional Council","03","Waikato Region","Total","Total","164196",".."
2018,"Regional Council","03","Waikato Region","Total stated","Total stated","147138","100.0"
2018,"Regional Council","04","Bay of Plenty Region","01","Mould over A4 size - always","4236","  4.3"
2018,"Regional Council","04","Bay of Plenty Region","02","Mould over A4 size - sometimes","12198"," 12.4"
2018,"Regional Council","04","Bay of Plenty Region","03","No mould/mould smaller than A4 size","82173"," 83.3"
2018,"Regional Council","04","Bay of Plenty Region","99","Not elsewhere included","13074",".."
2018,"Regional Council","04","Bay of Plenty Region","Total","Total","111684",".."
2018,"Regional Council","04","Bay of Plenty Region","Total stated","Total stated","98607","100.0"
2018,"Regional Council","05","Gisborne Region","01","Mould over A4 size - always","819","  5.8"
2018,"Regional Council","05","Gisborne Region","02","Mould over A4 size - sometimes","2205"," 15.5"
2018,"Regional Council","05","Gisborne Region","03","No mould/mould smaller than A4 size","11205"," 78.7"
2018,"Regional Council","05","Gisborne Region","99","Not elsewhere included","2283",".."
2018,"Regional Council","05","Gisborne Region","Total","Total","16509",".."
2018,"Regional Council","05","Gisborne Region","Total stated","Total stated","14229","100.0"
2018,"Regional Council","06","Hawke's Bay Region","01","Mould over A4 size - always","1926","  3.6"
2018,"Regional Council","06","Hawke's Bay Region","02","Mould over A4 size - sometimes","5667"," 10.5"
2018,"Regional Council","06","Hawke's Bay Region","03","No mould/mould smaller than A4 size","46389"," 85.9"
2018,"Regional Council","06","Hawke's Bay Region","99","Not elsewhere included","6543",".."
2018,"Regional Council","06","Hawke's Bay Region","Total","Total","60531",".."
2018,"Regional Council","06","Hawke's Bay Region","Total stated","Total stated","53985","100.0"
2018,"Regional Council","07","Taranaki Region","01","Mould over A4 size - always","1890","  4.6"
2018,"Regional Council","07","Taranaki Region","02","Mould over A4 size - sometimes","5724"," 13.8"
2018,"Regional Council","07","Taranaki Region","03","No mould/mould smaller than A4 size","33813"," 81.6"
2018,"Regional Council","07","Taranaki Region","99","Not elsewhere included","4020",".."
2018,"Regional Council","07","Taranaki Region","Total","Total","45444",".."
2018,"Regional Council","07","Taranaki Region","Total stated","Total stated","41424","100.0"
2018,"Regional Council","08","Manawatu-Wanganui Region","01","Mould over A4 size - always","3336","  4.1"
2018,"Regional Council","08","Manawatu-Wanganui Region","02","Mould over A4 size - sometimes","10278"," 12.6"
2018,"Regional Council","08","Manawatu-Wanganui Region","03","No mould/mould smaller than A4 size","67911"," 83.3"
2018,"Regional Council","08","Manawatu-Wanganui Region","99","Not elsewhere included","9285",".."
2018,"Regional Council","08","Manawatu-Wanganui Region","Total","Total","90810",".."
2018,"Regional Council","08","Manawatu-Wanganui Region","Total stated","Total stated","81525","100.0"
2018,"Regional Council","09","Wellington Region","01","Mould over A4 size - always","7332","  4.3"
2018,"Regional Council","09","Wellington Region","02","Mould over A4 size - sometimes","21171"," 12.4"
2018,"Regional Council","09","Wellington Region","03","No mould/mould smaller than A4 size","142044"," 83.3"
2018,"Regional Council","09","Wellington Region","99","Not elsewhere included","15675",".."
2018,"Regional Council","09","Wellington Region","Total","Total","186225",".."
2018,"Regional Council","09","Wellington Region","Total stated","Total stated","170550","100.0"
2018,"Regional Council","12","West Coast Region","01","Mould over A4 size - always","471","  3.9"
2018,"Regional Council","12","West Coast Region","02","Mould over A4 size - sometimes","1359"," 11.3"
2018,"Regional Council","12","West Coast Region","03","No mould/mould smaller than A4 size","10152"," 84.7"
2018,"Regional Council","12","West Coast Region","99","Not elsewhere included","1716",".."
2018,"Regional Council","12","West Coast Region","Total","Total","13695",".."
2018,"Regional Council","12","West Coast Region","Total stated","Total stated","11982","100.0"
2018,"Regional Council","13","Canterbury Region","01","Mould over A4 size - always","4977","  2.4"
2018,"Regional Council","13","Canterbury Region","02","Mould over A4 size - sometimes","16959","  8.1"
2018,"Regional Council","13","Canterbury Region","03","No mould/mould smaller than A4 size","186255"," 89.5"
2018,"Regional Council","13","Canterbury Region","99","Not elsewhere included","18621",".."
2018,"Regional Council","13","Canterbury Region","Total","Total","226806",".."
2018,"Regional Council","13","Canterbury Region","Total stated","Total stated","208188","100.0"
2018,"Regional Council","14","Otago Region","01","Mould over A4 size - always","2193","  2.7"
2018,"Regional Council","14","Otago Region","02","Mould over A4 size - sometimes","7224","  9.1"
2018,"Regional Council","14","Otago Region","03","No mould/mould smaller than A4 size","70335"," 88.2"
2018,"Regional Council","14","Otago Region","99","Not elsewhere included","7083",".."
2018,"Regional Council","14","Otago Region","Total","Total","86838",".."
2018,"Regional Council","14","Otago Region","Total stated","Total stated","79752","100.0"
2018,"Regional Council","15","Southland Region","01","Mould over A4 size - always","1071","  3.0"
2018,"Regional Council","15","Southland Region","02","Mould over A4 size - sometimes","3534","  9.9"
2018,"Regional Council","15","Southland Region","03","No mould/mould smaller than A4 size","31188"," 87.1"
2018,"Regional Council","15","Southland Region","99","Not elsewhere included","3138",".."
2018,"Regional Council","15","Southland Region","Total","Total","38931",".."
2018,"Regional Council","15","Southland Region","Total stated","Total stated","35793","100.0"
2018,"Regional Council","16","Tasman Region","01","Mould over A4 size - always","390","  2.1"
2018,"Regional Council","16","Tasman Region","02","Mould over A4 size - sometimes","1470","  8.0"
2018,"Regional Council","16","Tasman Region","03","No mould/mould smaller than A4 size","16488"," 89.9"
2018,"Regional Council","16","Tasman Region","99","Not elsewhere included","1419",".."
2018,"Regional Council","16","Tasman Region","Total","Total","19770",".."
2018,"Regional Council","16","Tasman Region","Total stated","Total stated","18348","100.0"
2018,"Regional Council","17","Nelson Region","01","Mould over A4 size - always","453","  2.5"
2018,"Regional Council","17","Nelson Region","02","Mould over A4 size - sometimes","1755","  9.5"
2018,"Regional Council","17","Nelson Region","03","No mould/mould smaller than A4 size","16182"," 88.0"
2018,"Regional Council","17","Nelson Region","99","Not elsewhere included","1590",".."
2018,"Regional Council","17","Nelson Region","Total","Total","19980",".."
2018,"Regional Council","17","Nelson Region","Total stated","Total stated","18390","100.0"
2018,"Regional Council","18","Marlborough Region","01","Mould over A4 size - always","306","  1.8"
2018,"Regional Council","18","Marlborough Region","02","Mould over A4 size - sometimes","1149","  6.6"
2018,"Regional Council","18","Marlborough Region","03","No mould/mould smaller than A4 size","15843"," 91.6"
2018,"Regional Council","18","Marlborough Region","99","Not elsewhere included","1614",".."
2018,"Regional Council","18","Marlborough Region","Total","Total","18912",".."
2018,"Regional Council","18","Marlborough Region","Total stated","Total stated","17298","100.0"
2018,"Regional Council","99","Area Outside Region","01","Mould over A4 size - always","30"," 12.7"
2018,"Regional Council","99","Area Outside Region","02","Mould over A4 size - sometimes","60"," 25.3"
2018,"Regional Council","99","Area Outside Region","03","No mould/mould smaller than A4 size","150"," 63.3"
2018,"Regional Council","99","Area Outside Region","99","Not elsewhere included","45",".."
2018,"Regional Council","99","Area Outside Region","Total","Total","285",".."
2018,"Regional Council","99","Area Outside Region","Total stated","Total stated","237","100.0"
2018,"Regional Council","Total","Total","01","Mould over A4 size - always","64536","  4.3"
2018,"Regional Council","Total","Total","02","Mould over A4 size - sometimes","188319"," 12.6"
2018,"Regional Council","Total","Total","03","No mould/mould smaller than A4 size","1240494"," 83.1"
2018,"Regional Council","Total","Total","99","Not elsewhere included","170964",".."
2018,"Regional Council","Total","Total","Total","Total","1664313",".."
2018,"Regional Council","Total","Total","Total stated","Total stated","1493349","100.0"
2018,"Statistical Area 2","100100","North Cape","01","Mould over A4 size - always","39","  8.1"
2018,"Statistical Area 2","100100","North Cape","02","Mould over A4 size - sometimes","84"," 17.4"
2018,"Statistical Area 2","100100","North Cape","03","No mould/mould smaller than A4 size","360"," 74.5"
2018,"Statistical Area 2","100100","North Cape","99","Not elsewhere included","150",".."
2018,"Statistical Area 2","100100","North Cape","Total","Total","633",".."
2018,"Statistical Area 2","100100","North Cape","Total stated","Total stated","483","100.0"
2018,"Statistical Area 2","100200","Rangaunu Harbour","01","Mould over A4 size - always","45","  7.1"
2018,"Statistical Area 2","100200","Rangaunu Harbour","02","Mould over A4 size - sometimes","117"," 18.4"
2018,"Statistical Area 2","100200","Rangaunu Harbour","03","No mould/mould smaller than A4 size","474"," 74.5"
2018,"Statistical Area 2","100200","Rangaunu Harbour","99","Not elsewhere included","144",".."
2018,"Statistical Area 2","100200","Rangaunu Harbour","Total","Total","777",".."
2018,"Statistical Area 2","100200","Rangaunu Harbour","Total stated","Total stated","636","100.0"
2018,"Statistical Area 2","100300","Inlets Far North District","01","Mould over A4 size - always","0","  0.0"
2018,"Statistical Area 2","100300","Inlets Far North District","02","Mould over A4 size - sometimes","12"," 28.6"
2018,"Statistical Area 2","100300","Inlets Far North District","03","No mould/mould smaller than A4 size","27"," 64.3"
2018,"Statistical Area 2","100300","Inlets Far North District","99","Not elsewhere included","33",".."
2018,"Statistical Area 2","100300","Inlets Far North District","Total","Total","75",".."
2018,"Statistical Area 2","100300","Inlets Far North District","Total stated","Total stated","42","100.0"
2018,"Statistical Area 2","100400","Karikari Peninsula","01","Mould over A4 size - always","21","  5.6"
2018,"Statistical Area 2","100400","Karikari Peninsula","02","Mould over A4 size - sometimes","42"," 11.3"
2018,"Statistical Area 2","100400","Karikari Peninsula","03","No mould/mould smaller than A4 size","309"," 83.1"
2018,"Statistical Area 2","100400","Karikari Peninsula","99","Not elsewhere included","111",".."
2018,"Statistical Area 2","100400","Karikari Peninsula","Total","Total","483",".."
2018,"Statistical Area 2","100400","Karikari Peninsula","Total stated","Total stated","372","100.0"
2018,"Statistical Area 2","100500","Tangonge","01","Mould over A4 size - always","27","  8.2"
2018,"Statistical Area 2","100500","Tangonge","02","Mould over A4 size - sometimes","63"," 19.1"
2018,"Statistical Area 2","100500","Tangonge","03","No mould/mould smaller than A4 size","240"," 72.7"
2018,"Statistical Area 2","100500","Tangonge","99","Not elsewhere included","63",".."
2018,"Statistical Area 2","100500","Tangonge","Total","Total","393",".."
2018,"Statistical Area 2","100500","Tangonge","Total stated","Total stated","330","100.0"
2018,"Statistical Area 2","100600","Ahipara","01","Mould over A4 size - always","21","  6.2"
2018,"Statistical Area 2","100600","Ahipara","02","Mould over A4 size - sometimes","57"," 16.8"
2018,"Statistical Area 2","100600","Ahipara","03","No mould/mould smaller than A4 size","264"," 77.9"
2018,"Statistical Area 2","100600","Ahipara","99","Not elsewhere included","57",".."
2018,"Statistical Area 2","100600","Ahipara","Total","Total","396",".."
2018,"Statistical Area 2","100600","Ahipara","Total stated","Total stated","339","100.0"
2018,"Statistical Area 2","100700","Kaitaia East","01","Mould over A4 size - always","57","  8.9"
2018,"Statistical Area 2","100700","Kaitaia East","02","Mould over A4 size - sometimes","147"," 22.9"
2018,"Statistical Area 2","100700","Kaitaia East","03","No mould/mould smaller than A4 size","438"," 68.2"
2018,"Statistical Area 2","100700","Kaitaia East","99","Not elsewhere included","126",".."
2018,"Statistical Area 2","100700","Kaitaia East","Total","Total","768",".."
2018,"Statistical Area 2","100700","Kaitaia East","Total stated","Total stated","642","100.0"
2018,"Statistical Area 2","100800","Kaitaia West","01","Mould over A4 size - always","87","  9.1"
2018,"Statistical Area 2","100800","Kaitaia West","02","Mould over A4 size - sometimes","225"," 23.5"
2018,"Statistical Area 2","100800","Kaitaia West","03","No mould/mould smaller than A4 size","648"," 67.7"
2018,"Statistical Area 2","100800","Kaitaia West","99","Not elsewhere included","162",".."
2018,"Statistical Area 2","100800","Kaitaia West","Total","Total","1119",".."
2018,"Statistical Area 2","100800","Kaitaia West","Total stated","Total stated","957","100.0"
2018,"Statistical Area 2","100900","Rangitihi","01","Mould over A4 size - always","18","  6.6"
2018,"Statistical Area 2","100900","Rangitihi","02","Mould over A4 size - sometimes","48"," 17.6"
2018,"Statistical Area 2","100900","Rangitihi","03","No mould/mould smaller than A4 size","210"," 76.9"
2018,"Statistical Area 2","100900","Rangitihi","99","Not elsewhere included","54",".."
2018,"Statistical Area 2","100900","Rangitihi","Total","Total","333",".."
2018,"Statistical Area 2","100900","Rangitihi","Total stated","Total stated","273","100.0"
2018,"Statistical Area 2","101000","Oruru-Parapara","01","Mould over A4 size - always","18","  7.6"
2018,"Statistical Area 2","101000","Oruru-Parapara","02","Mould over A4 size - sometimes","42"," 17.7"
2018,"Statistical Area 2","101000","Oruru-Parapara","03","No mould/mould smaller than A4 size","177"," 74.7"
2018,"Statistical Area 2","101000","Oruru-Parapara","99","Not elsewhere included","51",".."
2018,"Statistical Area 2","101000","Oruru-Parapara","Total","Total","288",".."
2018,"Statistical Area 2","101000","Oruru-Parapara","Total stated","Total stated","237","100.0"
2018,"Statistical Area 2","101100","Taumarumaru","01","Mould over A4 size - always","24","  3.1"
2018,"Statistical Area 2","101100","Taumarumaru","02","Mould over A4 size - sometimes","90"," 11.6"
2018,"Statistical Area 2","101100","Taumarumaru","03","No mould/mould smaller than A4 size","666"," 85.7"
2018,"Statistical Area 2","101100","Taumarumaru","99","Not elsewhere included","102",".."
2018,"Statistical Area 2","101100","Taumarumaru","Total","Total","882",".."
2018,"Statistical Area 2","101100","Taumarumaru","Total stated","Total stated","777","100.0"
2018,"Statistical Area 2","101200","Herekino-Takahue","01","Mould over A4 size - always","27"," 10.0"
2018,"Statistical Area 2","101200","Herekino-Takahue","02","Mould over A4 size - sometimes","51"," 18.9"
2018,"Statistical Area 2","101200","Herekino-Takahue","03","No mould/mould smaller than A4 size","192"," 71.1"
2018,"Statistical Area 2","101200","Herekino-Takahue","99","Not elsewhere included","60",".."
2018,"Statistical Area 2","101200","Herekino-Takahue","Total","Total","330",".."
2018,"Statistical Area 2","101200","Herekino-Takahue","Total stated","Total stated","270","100.0"
2018,"Statistical Area 2","101300","Peria","01","Mould over A4 size - always","27","  8.4"
2018,"Statistical Area 2","101300","Peria","02","Mould over A4 size - sometimes","72"," 22.4"
2018,"Statistical Area 2","101300","Peria","03","No mould/mould smaller than A4 size","225"," 70.1"
2018,"Statistical Area 2","101300","Peria","99","Not elsewhere included","105",".."
2018,"Statistical Area 2","101300","Peria","Total","Total","426",".."
2018,"Statistical Area 2","101300","Peria","Total stated","Total stated","321","100.0"
2018,"Statistical Area 2","101400","Taemaro-Oruaiti","01","Mould over A4 size - always","12","  4.8"
2018,"Statistical Area 2","101400","Taemaro-Oruaiti","02","Mould over A4 size - sometimes","39"," 15.5"
2018,"Statistical Area 2","101400","Taemaro-Oruaiti","03","No mould/mould smaller than A4 size","204"," 81.0"
2018,"Statistical Area 2","101400","Taemaro-Oruaiti","99","Not elsewhere included","30",".."
2018,"Statistical Area 2","101400","Taemaro-Oruaiti","Total","Total","282",".."
2018,"Statistical Area 2","101400","Taemaro-Oruaiti","Total stated","Total stated","252","100.0"
2018,"Statistical Area 2","101500","Whakapaku","01","Mould over A4 size - always","21","  8.8"
2018,"Statistical Area 2","101500","Whakapaku","02","Mould over A4 size - sometimes","42"," 17.5"
2018,"Statistical Area 2","101500","Whakapaku","03","No mould/mould smaller than A4 size","177"," 73.8"
2018,"Statistical Area 2","101500","Whakapaku","99","Not elsewhere included","36",".."
2018,"Statistical Area 2","101500","Whakapaku","Total","Total","276",".."
2018,"Statistical Area 2","101500","Whakapaku","Total stated","Total stated","240","100.0"
2018,"Statistical Area 2","101600","Hokianga North","01","Mould over A4 size - always","24"," 14.5"
2018,"Statistical Area 2","101600","Hokianga North","02","Mould over A4 size - sometimes","42"," 25.5"
2018,"Statistical Area 2","101600","Hokianga North","03","No mould/mould smaller than A4 size","99"," 60.0"
2018,"Statistical Area 2","101600","Hokianga North","99","Not elsewhere included","132",".."
2018,"Statistical Area 2","101600","Hokianga North","Total","Total","297",".."
2018,"Statistical Area 2","101600","Hokianga North","Total stated","Total stated","165","100.0"
2018,"Statistical Area 2","101700","Kohukohu-Broadwood","01","Mould over A4 size - always","18","  7.8"
2018,"Statistical Area 2","101700","Kohukohu-Broadwood","02","Mould over A4 size - sometimes","48"," 20.8"
2018,"Statistical Area 2","101700","Kohukohu-Broadwood","03","No mould/mould smaller than A4 size","168"," 72.7"
2018,"Statistical Area 2","101700","Kohukohu-Broadwood","99","Not elsewhere included","57",".."
2018,"Statistical Area 2","101700","Kohukohu-Broadwood","Total","Total","285",".."
2018,"Statistical Area 2","101700","Kohukohu-Broadwood","Total stated","Total stated","231","100.0"
2018,"Statistical Area 2","101800","Whakarara","01","Mould over A4 size - always","39"," 10.4"
2018,"Statistical Area 2","101800","Whakarara","02","Mould over A4 size - sometimes","78"," 20.8"
2018,"Statistical Area 2","101800","Whakarara","03","No mould/mould smaller than A4 size","258"," 68.8"
2018,"Statistical Area 2","101800","Whakarara","99","Not elsewhere included","105",".."
2018,"Statistical Area 2","101800","Whakarara","Total","Total","480",".."
2018,"Statistical Area 2","101800","Whakarara","Total stated","Total stated","375","100.0"
2018,"Statistical Area 2","101900","Kaeo","01","Mould over A4 size - always","30","  9.8"
2018,"Statistical Area 2","101900","Kaeo","02","Mould over A4 size - sometimes","66"," 21.6"
2018,"Statistical Area 2","101900","Kaeo","03","No mould/mould smaller than A4 size","213"," 69.6"
2018,"Statistical Area 2","101900","Kaeo","99","Not elsewhere included","102",".."
2018,"Statistical Area 2","101900","Kaeo","Total","Total","408",".."
